Genus	C1	C2	C3	Y1	Y2	Y3
Thermovibrio	0	1	0	0	3	0
Thiodictyon	1	1	0	0	2	0
Thiothrix	0	0	2	0	2	0
Timonella	0	0	0	4	0	0
Turicimonas	0	0	1	0	3	0
Vitreoscilla	0	1	3	0	0	0
Vulcanimicrobium	3	0	1	0	0	0
Winogradskyella	0	0	0	2	1	1
Zymomonas	3	0	0	0	1	0
Actinobacillus	0	0	0	1	2	0
Actinobaculum	0	1	0	0	0	2
Actinotalea	0	0	1	0	0	2
Aestuariivirga	0	0	2	0	0	1
Ahniella	1	0	0	0	2	0
Albidovulum	3	0	0	0	0	0
Algihabitans	0	3	0	0	0	0
Alloacidobacterium	0	0	0	1	2	0
Allochromatium	0	0	3	0	0	0
Allofrancisella	0	3	0	0	0	0
Alloiococcus	0	0	0	0	3	0
Alloyangia	1	0	1	0	1	0
Alterirhizorhabdus	2	0	0	0	0	1
Aminobacterium	0	0	0	1	0	2
Anaerohalosphaera	0	0	0	0	0	3
Anaerolinea	0	0	0	0	0	3
Antarcticibacterium	0	0	1	0	1	1
Anthocerotibacter	1	0	0	1	1	0
Aquiflexum	0	3	0	0	0	0
Aquimarina	0	3	0	0	0	0
Aquisediminimonas	1	0	2	0	0	0
Besnoitia	2	1	0	0	0	0
Blastomonas	0	0	1	0	2	0
Botrytis	0	0	1	0	1	1
Bythopirellula	0	3	0	0	0	0
Caldalkalibacillus	0	3	0	0	0	0
Caldithrix	0	2	1	0	0	0
Candidatus_Phytoplasma	1	2	0	0	0	0
Chlamydia	0	0	0	3	0	0
Congregibacter	1	0	0	0	1	1
Defluviitoga	0	0	0	1	0	2
Denitratisoma	0	0	3	0	0	0
Desulfobacter	0	3	0	0	0	0
Desulfopila	0	0	1	1	0	1
Dolosigranulum	0	0	0	2	0	1
Enhydrobacter	2	1	0	0	0	0
Ferrigenium	2	0	0	0	0	1
Fluviicola	0	3	0	0	0	0
Fundicoccus	2	0	0	0	1	0
Gemmobacter	1	2	0	0	0	0
Gephyromycinifex	0	0	2	0	1	0
Gimibacter	0	2	1	0	0	0
Grimontia	0	1	0	0	2	0
Hacihdavirus	0	0	0	0	3	0
Hafnia	0	0	0	0	3	0
Haliscomenobacter	1	0	1	0	0	1
Halocatena	0	0	0	0	0	3
Halorarum	1	0	1	0	0	1
Halothiobacillus	0	1	2	0	0	0
Hartmannibacter	1	2	0	0	0	0
Helicovermis	0	3	0	0	0	0
Hydrogenophilus	0	0	3	0	0	0
Imbroritus	0	0	3	0	0	0
Immundisolibacter	1	1	1	0	0	0
Indioceanicola	3	0	0	0	0	0
Inhella	0	1	1	0	0	1
Jeotgalibacillus	0	2	0	1	0	0
Jeotgalicoccus	0	0	0	0	3	0
Kingella	2	1	0	0	0	0
Kushneria	1	2	0	0	0	0
Leadbetterella	0	1	0	0	2	0
Leeuwenhoekiella	0	0	0	0	3	0
Leptolyngbya	2	0	1	0	0	0
Leptothrix	0	0	3	0	0	0
Limnobacter	0	3	0	0	0	0
Limnoglobus	2	0	0	1	0	0
Lutibacter	0	0	1	1	0	1
Mangrovivirga	0	3	0	0	0	0
Maricurvus	2	0	1	0	0	0
Mariluticola	1	2	0	0	0	0
Marinilongibacter	0	0	0	0	0	3
Methylophilus	0	0	2	1	0	0
Naasia	0	0	2	1	0	0
Natrarchaeobaculum	0	3	0	0	0	0
Natronoglycomyces	0	0	0	0	3	0
Naumovozyma	0	0	1	1	0	1
Neomicrococcus	0	0	2	0	1	0
Niabella	2	0	1	0	0	0
Nibricoccus	1	0	0	1	1	0
Nitrososphaera	0	0	3	0	0	0
Nitrosospira	2	0	1	0	0	0
Nordella	1	2	0	0	0	0
Occallatibacter	1	1	1	0	0	0
Occultella	0	0	0	0	2	1
Oceanotoga	1	0	0	1	0	1
Oecophyllibacter	3	0	0	0	0	0
Okeanomitos	0	1	0	0	2	0
Paeniglutamicibacter	0	0	1	0	2	0
Palleronia	0	2	0	0	1	0
Parablastomonas	0	0	0	0	3	0
Parachlamydia	0	0	0	3	0	0
Paradevosia	1	2	0	0	0	0
Parageobacillus	0	1	1	0	0	1
Paraglaciecola	0	1	0	2	0	0
Paralysiella	3	0	0	0	0	0
Pararoseomonas	0	2	0	0	1	0
Phaeodactylum	0	1	0	2	0	0
Plesiomonas	1	0	2	0	0	0
Polymorphobacter	0	2	0	1	0	0
Pontimicrobium	1	2	0	0	0	0
Pseudactinotalea	1	0	2	0	0	0
Pseudogemmobacter	2	0	1	0	0	0
Pseudoleptotrichia	0	0	0	1	2	0
Psychrobacillus	1	1	0	0	1	0
Puccinia	0	0	2	1	0	0
Pusillimonas	0	0	0	0	3	0
Pyrodictium	0	0	0	3	0	0
Remersonia	0	1	1	1	0	0
Rheinheimera	1	0	1	0	1	0
Rhodococcoides	0	1	0	0	1	1
Rhodoligotrophos	1	2	0	0	0	0
Roseimicrobium	0	1	2	0	0	0
Roseococcus	0	3	0	0	0	0
Rubellicoccus	2	0	0	0	1	0
Sagittula	0	2	1	0	0	0
Salegentibacter	0	0	0	0	3	0
Salimicrobium	0	0	1	0	2	0
Salinicola	1	0	0	1	1	0
Salinirubellus	1	1	1	0	0	0
Salipiger	0	3	0	0	0	0
Salisediminibacterium	0	2	0	0	1	0
Seonamhaeicola	0	0	0	3	0	0
Serpentinimonas	3	0	0	0	0	0
Shimia	3	0	0	0	0	0
Sideroxydans	1	0	1	1	0	0
Sphaerospermopsis	0	0	0	0	2	1
Stigmatella	2	1	0	0	0	0
Sulfurihydrogenibium	0	0	0	0	2	1
Sulfuritalea	0	0	1	0	0	2
Sulfurovum	0	1	0	0	1	1
Synechocystis	0	3	0	0	0	0
Syntrophobotulus	0	0	1	0	0	2
Thalassomonas	0	1	2	0	0	0
Thermoanaerobacter	1	1	0	0	0	1
Thermosediminibacter	2	1	0	0	0	0
Thiolapillus	0	3	0	0	0	0
Thiospirochaeta	0	0	0	0	3	0
Toxoplasma	0	1	0	0	2	0
Tropicibacter	0	0	0	3	0	0
Ustilaginoidea	0	0	0	0	3	0
Viridibacillus	0	1	0	1	1	0
Xenorhabdus	0	2	0	0	1	0
Zhaonella	2	1	0	0	0	0
Acaryochloris	2	0	0	0	0	0
Acetilactobacillus	1	0	1	0	0	0
Acidisoma	1	0	1	0	0	0
Actinopolyspora	1	0	0	0	1	0
Actinosynnema	1	1	0	0	0	0
Aequorivita	0	0	0	0	0	2
Aggregatimonas	0	2	0	0	0	0
Algirhabdus	2	0	0	0	0	0
Aliinostoc	0	0	0	2	0	0
Allocoleopsis	1	0	0	0	0	1
Allosaccharopolyspora	0	0	0	0	0	2
Amaricoccus	2	0	0	0	0	0
Angustibacter	0	1	0	0	1	0
Anseongella	0	1	0	0	1	0
Antiquaquibacter	0	2	0	0	0	0
Aquabacter	0	2	0	0	0	0
Aquiluna	1	0	1	0	0	0
Arsenophonus	2	0	0	0	0	0
Auraticoccus	0	0	2	0	0	0
Beutenbergia	1	0	0	1	0	0
Billgrantia	2	0	0	0	0	0
Borreliella	0	1	0	0	1	0
Caminicella	0	0	0	0	2	0
Candidatus_Absconditicoccus	0	0	0	0	0	2
Candidatus_Aciduliprofundum	0	2	0	0	0	0
Candidatus_Blochmanniella	0	0	0	0	0	2
Candidatus_Chromulinivorax	0	0	0	0	0	2
Candidatus_Endolissoclinum	0	0	0	2	0	0
Candidatus_Endomicrobiellum	2	0	0	0	0	0
Candidatus_Endoriftia	0	0	2	0	0	0
Candidatus_Endowatersipora	0	0	2	0	0	0
Candidatus_Fonsibacter	0	0	0	0	0	2
Candidatus_Kirkpatrickella	0	0	2	0	0	0
Candidatus_Methylopumilus	0	0	2	0	0	0
Candidatus_Palibaumannia	0	0	0	0	2	0
Candidatus_Pristimantibacillus	0	0	0	0	0	2
Candidatus_Sneabacter	0	0	2	0	0	0
Candidatus_Spongiisocius	0	2	0	0	0	0
Candidatus_Thiodiazotropha	0	0	2	0	0	0
Candidatus_Uabimicrobium	0	0	0	0	0	2
Cellvibrio	1	0	1	0	0	0
Cercospora	0	0	0	0	2	0
Chania	0	0	0	2	0	0
Chelativorans	0	2	0	0	0	0
Chloracidobacterium	0	0	0	0	2	0
Chlorogloeopsis	0	1	0	0	1	0
Cnuibacter	0	1	0	1	0	0
Colwellia	0	0	0	2	0	0
Curvibacter	0	0	1	0	0	1
Cyanobacterium	0	0	0	1	0	1
Cyclobacterium	0	0	0	2	0	0
Cylindrospermopsis	0	0	0	0	2	0
Dabirmavirus	0	0	0	0	2	0
Desulfobaculum	0	0	0	0	2	0
Desulfococcus	0	1	1	0	0	0
Dolichospermum	0	0	0	0	2	0
Emticicia	0	1	0	0	1	0
Epilithonimonas	0	2	0	0	0	0
Faecalibacter	0	0	2	0	0	0
Ferrovum	0	2	0	0	0	0
Fluviibacter	2	0	0	0	0	0
Fontisphaera	0	2	0	0	0	0
Formicincola	1	0	1	0	0	0
Fuerstiella	0	1	0	1	0	0
Geminocystis	0	1	0	0	1	0
Granulibacter	0	0	2	0	0	0
Granulosicoccus	2	0	0	0	0	0
Gynuella	2	0	0	0	0	0
Halalkalibacterium_(ex_Joshi_et_al._2022)	0	2	0	0	0	0
Halanaeroarchaeum	0	0	0	2	0	0
Haloarcula	1	0	0	1	0	0
Haloferula	0	1	0	0	0	1
Halomicrobium	0	1	0	0	0	1
Halorhodospira	0	0	1	0	1	0
Halosegnis	0	0	2	0	0	0
Halosimplex	0	0	2	0	0	0
Halosquirtibacter	0	0	0	0	2	0
Helcobacillus	2	0	0	0	0	0
Hirschia	2	0	0	0	0	0
Hylemonella	0	0	2	0	0	0
Jilinvirus	0	2	0	0	0	0
Ketogulonicigenium	0	0	1	0	1	0
Kozakia	1	0	0	1	0	0
Ktedonosporobacter	0	1	1	0	0	0
Labilibaculum	0	1	0	1	0	0
Lacibacter	0	0	2	0	0	0
Lacimicrobium	1	1	0	0	0	0
Lawsonella	1	0	0	0	0	1
Leadbettera	1	1	0	0	0	0
Lentilitoribacter	0	0	0	0	0	2
Limihaloglobus	0	0	0	0	2	0
Limnobaculum	0	0	0	0	2	0
Luminiphilus	2	0	0	0	0	0
Luteipulveratus	0	1	0	1	0	0
Luteococcus	0	0	2	0	0	0
Macrococcoides	0	1	0	0	1	0
Mannheimia	0	0	0	0	1	1
Marichromatium	1	0	1	0	0	0
Marilutibacter	1	1	0	0	0	0
Marinitoga	0	1	0	0	0	1
Maritalea	0	0	2	0	0	0
Melioribacter	0	0	2	0	0	0
Mesoplasma	1	0	0	0	1	0
Methanimicrococcus	0	1	1	0	0	0
Methanocorpusculum	1	0	1	0	0	0
Methanolacinia	0	1	0	0	0	1
Methanomethylophilus	1	0	1	0	0	0
Methylocapsa	2	0	0	0	0	0
Methylomicrobium	2	0	0	0	0	0
Methylomusa	0	0	1	0	0	1
Methylophaga	2	0	0	0	0	0
Microterricola	2	0	0	0	0	0
Miltoncavirus	0	0	0	0	2	0
Miniimonas	0	0	0	0	2	0
Minwuia	0	2	0	0	0	0
Mongoliitalea	0	2	0	0	0	0
Moritella	0	0	1	0	1	0
Mycoplasmoides	0	0	0	2	0	0
Natronobacterium	0	1	1	0	0	0
Natronomonas	0	1	1	0	0	0
Neotabrizicola	0	0	0	0	0	2
Nevskia	1	1	0	0	0	0
Nitrosarchaeum	0	0	0	0	2	0
Oceanicola	1	0	0	0	1	0
Oleiphilus	0	0	2	0	0	0
Olivibacter	0	0	2	0	0	0
Oricola	0	2	0	0	0	0
Oryzisolibacter	0	1	0	0	1	0
Oxynema	2	0	0	0	0	0
Pajaroellobacter	0	2	0	0	0	0
Paracrocinitomix	0	2	0	0	0	0
Paralcaligenes	1	0	1	0	0	0
Paraneptunicella	0	0	0	2	0	0
Parazoarcus	0	0	2	0	0	0
Parvibaculum	2	0	0	0	0	0
Permianibacter	0	0	2	0	0	0
Petrotoga	0	2	0	0	0	0
Phaeobacter	0	1	0	0	1	0
Pirellula	0	0	1	0	1	0
Piscinibacterium	1	1	0	0	0	0
Plantibacter	0	0	0	2	0	0
Pleurocapsa	0	0	1	0	1	0
Polymorphum	2	0	0	0	0	0
Poriferisphaera	0	2	0	0	0	0
Pradoshia	0	2	0	0	0	0
Pseudobacter	1	0	0	0	0	1
Pseudopelagicola	0	0	2	0	0	0
Psychroflexus	0	0	0	2	0	0
Puia	0	0	1	0	1	0
Raineyella	0	1	1	0	0	0
Rhodocytophaga	2	0	0	0	0	0
Rhodovulum	0	1	1	0	0	0
Rickettsiella	0	2	0	0	0	0
Roseibacillus	2	0	0	0	0	0
Roseitalea	0	1	1	0	0	0
Roseobacter	1	1	0	0	0	0
Rubinisphaera	2	0	0	0	0	0
Ruicaihuangia	1	1	0	0	0	0
Ruoffia	0	0	0	0	0	2
Saccharolobus	0	0	0	0	2	0
Salarchaeum	0	1	0	0	0	1
Saliniradius	0	0	0	0	0	2
Salinirarus	2	0	0	0	0	0
Salinispirillum	0	0	0	0	2	0
Salinispora	1	1	0	0	0	0
Schizosaccharomyces	0	0	0	0	1	1
Sediminibacillus	0	0	0	0	0	2
Selenobaculum	0	0	2	0	0	0
Sideroxyarcus	1	1	0	0	0	0
Skermania	0	1	1	0	0	0
Solibacillus	0	0	0	2	0	0
Solitalea	0	0	0	0	2	0
Spartinivicinus	0	0	0	2	0	0
Sphingosinicella	1	0	0	0	1	0
Sphingosinithalassobacter	0	0	2	0	0	0
Sterolibacterium	0	0	1	1	0	0
Streptobacillus	0	0	0	0	2	0
Stygiolobus	0	0	0	0	2	0
Sulfobacillus	0	0	0	0	0	2
Sulfurimicrobium	1	0	1	0	0	0
Swingsia	0	0	2	0	0	0
Talaromyces	0	0	0	0	2	0
Taurinivorans	0	1	0	0	1	0
Tepidibacillus	0	0	0	0	0	2
Tepidicaulis	0	0	0	0	2	0
Thermobaculum	0	2	0	0	0	0
Thermodesulfobacterium	0	2	0	0	0	0
Thermoflavifilum	1	1	0	0	0	0
Thermomicrobium	0	2	0	0	0	0
Thermoproteus	0	2	0	0	0	0
Thermothelomyces	0	1	1	0	0	0
Thermothielavioides	0	1	0	0	1	0
Thioclava	1	0	1	0	0	0
Thiomicrospira	0	1	0	0	1	0
Thiosocius	2	0	0	0	0	0
Tolumonas	0	0	1	0	0	1
Vandammella	0	0	0	0	2	0
Variibacter	0	2	0	0	0	0
Wenzhouxiangella	1	1	0	0	0	0
Wielerella	1	1	0	0	0	0
Williamsia	1	0	1	0	0	0
Yarrowia	0	2	0	0	0	0
Yinghuangia	0	0	0	0	2	0
Zygosaccharomyces	0	2	0	0	0	0
Acetohalobium	0	0	0	1	0	0
Acidianus	0	0	0	1	0	0
Acidilutibacter	0	0	0	0	0	1
Acidothermus	1	0	0	0	0	0
Actinopolymorpha	1	0	0	0	0	0
Adhaeretor	1	0	0	0	0	0
Adrianbuildvirus	0	0	0	1	0	0
Aegicerativicinus	0	1	0	0	0	0
Aerosticca	1	0	0	0	0	0
Aestuariibius	0	0	1	0	0	0
Aestuariispira	1	0	0	0	0	0
Agreia	0	0	0	1	0	0
Ahrensia	0	0	0	0	1	0
Algibacter	0	0	0	0	0	1
Algimonas	1	0	0	0	0	0
Aliirhizobium	0	0	0	0	0	1
Alishewanella	1	0	0	0	0	0
Alkalibacillus	0	0	0	0	0	1
Alkalicella	0	0	0	0	1	0
Alkalihalobacillus	0	0	0	0	1	0
Allorhizobium	0	0	1	0	0	0
Allotamlana	0	0	1	0	0	0
Alteriqipengyuania	0	0	1	0	0	0
Alysiella	0	1	0	0	0	0
Aminirod	1	0	0	0	0	0
Amphritea	0	0	0	0	0	1
Anaerobacillus	0	0	0	0	1	0
Anaerocellum	1	0	0	0	0	0
Anatilimnocola	1	0	0	0	0	0
Anoxybacteroides	0	1	0	0	0	0
Antarctobacter	0	1	0	0	0	0
Apilactobacillus	0	0	0	0	0	1
Aquaspirillum	0	0	1	0	0	0
Aquicoccus	1	0	0	0	0	0
Aquipluma	1	0	0	0	0	0
Archaeoglobus	1	0	0	0	0	0
Arenimonas	0	1	0	0	0	0
Asteriusvirus	0	0	0	0	1	0
Aurantibacillus	0	0	0	0	0	1
Aurantimonas	1	0	0	0	0	0
Aureibacter	0	1	0	0	0	0
Aureliella	0	1	0	0	0	0
Azohydromonas	0	0	1	0	0	0
Azonexus	0	0	1	0	0	0
Bacteriovorax	0	0	0	1	0	0
Bartonella	0	0	0	0	0	1
Basilea	0	0	0	0	0	1
Beggiatoa	0	1	0	0	0	0
Bernardetia	0	1	0	0	0	0
Botrimarina	1	0	0	0	0	0
Brachymonas	1	0	0	0	0	0
Caldanaerobacter	0	0	0	0	0	1
Caldifermentibacillus	0	0	0	0	1	0
Calycomorphotria	0	0	1	0	0	0
Candidatus_Williamhamiltonella	0	1	0	0	0	0
Chitinivorax	1	0	0	0	0	0
Chloroflexus	0	1	0	0	0	0
Conchiformibius	0	1	0	0	0	0
Coraliomargarita	0	1	0	0	0	0
Crifsvirus	0	0	0	0	1	0
Cruoricaptor	0	0	0	0	0	1
Cryptococcus	0	0	0	1	0	0
Cryptosporidium	0	0	0	1	0	0
Cutaneotrichosporon	1	0	0	0	0	0
Cylindrospermum	0	0	0	0	1	0
Dankookia	1	0	0	0	0	0
Debaryomyces	0	0	0	0	1	0
Deefgea	0	0	1	0	0	0
Desulfoglaeba	0	1	0	0	0	0
Desulfohalobium	0	0	1	0	0	0
Desulfonema	0	0	0	0	1	0
Devriesea	1	0	0	0	0	0
Dhakavirus	0	0	0	1	0	0
Dinoroseobacter	0	0	0	0	1	0
Dokdonia	0	1	0	0	0	0
Ectobacillus	0	0	0	0	1	0
Elioraea	1	0	0	0	0	0
Elizabethkingia	0	0	0	0	1	0
Embleya	0	0	1	0	0	0
Emcibacter	0	0	0	1	0	0
Enterovibrio	1	0	0	0	0	0
Eponavirus	0	0	0	0	0	1
Evansella	0	0	0	0	0	1
Ferruginibacter	0	1	0	0	0	0
Fibrella	0	1	0	0	0	0
Fischerella	0	0	0	1	0	0
Flagellatimonas	0	1	0	0	0	0
Flammeovirga	0	0	0	0	1	0
Flavihumibacter	0	0	1	0	0	0
Fodinisporobacter	0	0	0	0	0	1
Frateuria	1	0	0	0	0	0
Frederiksenia	0	0	0	0	1	0
Frigoriglobus	0	0	1	0	0	0
Fromanvirus	1	0	0	0	0	0
Fructobacillus	0	0	1	0	0	0
Fuscovulum	0	0	0	0	0	1
Gallionella	0	0	1	0	0	0
Geoglobus	0	0	0	0	1	0
Geopseudomonas	0	1	0	0	0	0
Geovibrio	1	0	0	0	0	0
Giardia	0	0	0	0	1	0
Gibbsiella	0	0	1	0	0	0
Gilvimarinus	0	1	0	0	0	0
Glacieibacterium	0	1	0	0	0	0
Glaesserella	0	0	0	1	0	0
Glossinavirus	0	0	0	0	0	1
Glycocaulis	1	0	0	0	0	0
Gryllotalpicola	0	0	0	1	0	0
Guptibacillus	0	1	0	0	0	0
Halobacteriovorax	0	0	0	1	0	0
Halobacteroides	0	0	1	0	0	0
Halohasta	1	0	0	0	0	0
Halomicronema	0	0	0	0	0	1
Halomontanus	0	0	0	1	0	0
Halosolutus	0	1	0	0	0	0
Halostagnicola	0	1	0	0	0	0
Henningerozyma	0	0	0	0	1	0
Hinxtonvirus	0	0	0	0	0	1
Histophilus	0	0	1	0	0	0
Hodnevirus	0	0	1	0	0	0
Homoserinibacter	1	0	0	0	0	0
Homoserinimonas	1	0	0	0	0	0
Hwangdonia	0	0	0	1	0	0
Hydrocarboniclastica	0	0	0	0	0	1
Ignatzschineria	0	0	0	1	0	0
Ignavibacterium	0	0	0	1	0	0
Ignavigranum	0	0	0	0	0	1
Intrasporangium	0	0	1	0	0	0
Isoalcanivorax	0	1	0	0	0	0
Ittyvirus	1	0	0	0	0	0
Jejubacter	0	1	0	0	0	0
Ketobacter	0	1	0	0	0	0
Kluyveromyces	0	0	0	0	0	1
Koinonema	0	0	1	0	0	0
Kytococcus	0	1	0	0	0	0
Labrys	0	0	0	1	0	0
Laceyella	0	0	0	1	0	0
Lacipirellula	0	0	1	0	0	0
Lawsonia	0	0	1	0	0	0
Lentavirus	0	0	0	0	1	0
Limimaricola	1	0	0	0	0	0
Lonepinella	1	0	0	0	0	0
Luteimicrobium	1	0	0	0	0	0
Lutimonas	0	1	0	0	0	0
Lyngbya	0	1	0	0	0	0
Lysinibacter	0	1	0	0	0	0
Magnetospira	0	0	0	0	1	0
Mangrovibacillus	0	0	0	0	1	0
Mariniblastus	0	0	0	0	0	1
Marinithermus	1	0	0	0	0	0
Marivita	0	1	0	0	0	0
Marivivens	1	0	0	0	0	0
Meganvirus	0	0	1	0	0	0
Mesoflavibacter	0	1	0	0	0	0
Methanogenium	0	1	0	0	0	0
Methanohalophilus	0	0	0	0	1	0
Methanolapillus	0	1	0	0	0	0
Methanoplanus	0	0	1	0	0	0
Methanothermobacter	0	0	1	0	0	0
Methanothrix	0	0	1	0	0	0
Methylacidiphilum_(ex_Ratnadevi_et_al._2023)	1	0	0	0	0	0
Methylocella	0	0	0	0	0	1
Methylomarinovum	1	0	0	0	0	0
Methyloprofundus	0	1	0	0	0	0
Methylovulum	0	0	1	0	0	0
Micropruina	0	1	0	0	0	0
Mobiluncus	1	0	0	0	0	0
Moellerella	0	0	0	1	0	0
Motiliproteus	0	0	0	1	0	0
Muscodensovirus	0	0	0	0	1	0
Musicola	0	1	0	0	0	0
Mycetohabitans	0	0	1	0	0	0
Nanobdella	0	0	0	1	0	0
Natribaculum	1	0	0	0	0	0
Natronorarus	1	0	0	0	0	0
Natronorubrum	1	0	0	0	0	0
Neokomagataea	0	0	1	0	0	0
Neolewinella	1	0	0	0	0	0
Neospora	0	1	0	0	0	0
Neptuniibacter	0	0	0	0	0	1
Neurospora	0	0	0	0	1	0
Nitratifractor	1	0	0	0	0	0
Nitrincola	0	0	0	0	1	0
Nitrosococcus	0	1	0	0	0	0
Nitrosophilus	0	0	0	0	0	1
Nitrosopumilus	0	0	0	1	0	0
Nodosilinea	0	1	0	0	0	0
Nostocoides	0	1	0	0	0	0
Novilysobacter	0	1	0	0	0	0
Obesumbacterium	0	0	1	0	0	0
Oceanicaulis	0	1	0	0	0	0
Ochrobactrum	1	0	0	0	0	0
Orthobunyavirus	0	0	1	0	0	0
Paenacidovorax	0	1	0	0	0	0
Paenisporosarcina	0	0	0	1	0	0
Paraliobacillus	0	0	0	0	0	1
Parasalinivibrio	0	1	0	0	0	0
Parasedimentitalea	1	0	0	0	0	0
Parasphaerochaeta	0	1	0	0	0	0
Parathermosynechococcus	1	0	0	0	0	0
Paraurantiacibacter	1	0	0	0	0	0
Parelusimicrobium	0	0	0	0	1	0
Peredibacter	0	0	0	0	1	0
Peteryoungia	0	1	0	0	0	0
Phadecavirus	0	0	0	1	0	0
Phocoenobacter	0	1	0	0	0	0
Photorhabdus	1	0	0	0	0	0
Piscirickettsia	0	0	1	0	0	0
Podospora	0	1	0	0	0	0
Ponticoccus	0	0	0	0	0	1
Porifericola	0	1	0	0	0	0
Prauserella	0	0	0	1	0	0
Profundibacter	0	0	1	0	0	0
Propionimicrobium	0	1	0	0	0	0
Pseudemcibacter	0	1	0	0	0	0
Pseudocnuella	0	0	0	0	0	1
Pseudorhodoplanes	0	1	0	0	0	0
Pseudoroseicyclus	0	0	0	0	1	0
Pseudothermotoga	1	0	0	0	0	0
Psilocybe	1	0	0	0	0	0
Psychromonas	0	0	0	1	0	0
Pulveribacter	1	0	0	0	0	0
Qingshengfaniella	0	0	1	0	0	0
Rhodoluna	1	0	0	0	0	0
Rippkaea	0	0	0	0	1	0
Rodentibacter	0	1	0	0	0	0
Roseivirga	0	0	0	1	0	0
Rummeliibacillus	0	1	0	0	0	0
Salinilacihabitans	0	0	1	0	0	0
Salinivibrio	1	0	0	0	0	0
Salipaludibacillus	0	0	0	0	1	0
Saprospira	0	1	0	0	0	0
Scrofimicrobium	1	0	0	0	0	0
Secundilactobacillus	0	1	0	0	0	0
Sedimenticola	0	0	0	0	0	1
Sedimentisphaera	0	1	0	0	0	0
Sediminibacterium	0	1	0	0	0	0
Segniliparus	0	1	0	0	0	0
Shimwellia	0	0	1	0	0	0
Shouchella	0	1	0	0	0	0
Simiduia	0	1	0	0	0	0
Simonsiella	0	1	0	0	0	0
Simplicispira	1	0	0	0	0	0
Solilutibacter	0	1	0	0	0	0
Sordaria	0	0	0	0	0	1
Sphaerisporangium	1	0	0	0	0	0
Spirobacillus	0	1	0	0	0	0
Spongiibacter	0	0	0	0	1	0
Sporisorium	0	1	0	0	0	0
Staphylothermus	0	0	0	0	1	0
Steroidobacter	0	0	1	0	0	0
Stratiformator	0	1	0	0	0	0
Suicoccus	0	1	0	0	0	0
Sulfolobus	0	0	0	0	1	0
Sulfuracidifex	0	0	0	0	0	1
Sulfuricella	0	0	1	0	0	0
Sulfuricurvum	0	0	0	0	1	0
Taylorella	0	1	0	0	0	0
Tepidimonas	1	0	0	0	0	0
Terasakiella	0	0	0	0	1	0
Teredinibacter	0	0	1	0	0	0
Thalassiosira	0	0	0	0	0	1
Thalassococcus	1	0	0	0	0	0
Thaumasiovibrio	1	0	0	0	0	0
Theileria	0	0	0	0	1	0
Thermithiobacillus	1	0	0	0	0	0
Thermochromatium	0	0	1	0	0	0
Thermocoleostomius	0	0	0	0	1	0
Thermodesulfatator	1	0	0	0	0	0
Thermodesulfobium	0	0	0	1	0	0
Thermoleptolyngbya	0	0	1	0	0	0
Thiomonas	1	0	0	0	0	0
Tolypothrix	1	0	0	0	0	0
Trichocoleus	1	0	0	0	0	0
Trypanosoma	1	0	0	0	0	0
Uruburuella	1	0	0	0	0	0
Vaginimicrobium	0	0	0	0	1	0
Varunaivibrio	1	0	0	0	0	0
Waddlia	0	0	0	0	1	0
Winslowiella	1	0	0	0	0	0
Wohlfahrtiimonas	0	0	0	0	1	0
Xylella	0	0	1	0	0	0
Zobellia	0	1	0	0	0	0
Zophobihabitans	0	0	1	0	0	0
Zymobacter	0	0	1	0	0	0
Zymoseptoria	0	0	0	0	1	0
