Genus	C2	C3	Y1	Y2	Y3
Occallatibacter	1	1	0	0	0
Oceanotoga	0	0	1	0	1
Oleiphilus	0	2	0	0	0
Olivibacter	0	2	0	0	0
Oricola	2	0	0	0	0
Oryzisolibacter	1	0	0	1	0
Pajaroellobacter	2	0	0	0	0
Paracrocinitomix	2	0	0	0	0
Paradevosia	2	0	0	0	0
Paraneptunicella	0	0	2	0	0
Paraoerskovia	0	0	2	0	0
Parazoarcus	0	2	0	0	0
Paremcibacter	0	2	0	0	0
Permianibacter	0	2	0	0	0
Persicobacter	0	0	0	2	0
Petrotoga	2	0	0	0	0
Phaeobacter	1	0	0	1	0
Pirellula	0	1	0	1	0
Plantibacter	0	0	2	0	0
Plesiomonas	0	2	0	0	0
Pleurocapsa	0	1	0	1	0
Pontimicrobium	2	0	0	0	0
Poriferisphaera	2	0	0	0	0
Pradoshia	2	0	0	0	0
Pseudactinotalea	0	2	0	0	0
Pseudazoarcus	2	0	0	0	0
Pseudochrobactrum	2	0	0	0	0
Pseudopelagicola	0	2	0	0	0
Psychrobacillus	1	0	0	1	0
Psychroflexus	0	0	2	0	0
Puia	0	1	0	1	0
Raineyella	1	1	0	0	0
Reinekea	0	2	0	0	0
Rheinheimera	0	1	0	1	0
Rhodoligotrophos	2	0	0	0	0
Rhodopila	2	0	0	0	0
Rhodovulum	1	1	0	0	0
Rickettsiella	2	0	0	0	0
Rohdeia	1	1	0	0	0
Roseitalea	1	1	0	0	0
Ruoffia	0	0	0	0	2
Saccharolobus	0	0	0	2	0
Salarchaeum	1	0	0	0	1
Salinicola	0	0	1	1	0
Saliniradius	0	0	0	0	2
Salinirubellus	1	1	0	0	0
Salinispirillum	0	0	0	2	0
Schizosaccharomyces	0	0	0	1	1
Sediminibacillus	0	0	0	0	2
Selenobaculum	0	2	0	0	0
Sideroxydans	0	1	1	0	0
Skermania	1	1	0	0	0
Solibacillus	0	0	2	0	0
Solimonas	0	2	0	0	0
Solitalea	0	0	0	2	0
Spartinivicinus	0	0	2	0	0
Sphaerimonospora	2	0	0	0	0
Sphaerotilus	0	0	0	0	2
Sphingosinithalassobacter	0	2	0	0	0
Sterolibacterium	0	1	1	0	0
Streptobacillus	0	0	0	2	0
Stygiolobus	0	0	0	2	0
Sulfobacillus	0	0	0	0	2
Swingsia	0	2	0	0	0
Talaromyces	0	0	0	2	0
Taurinivorans	1	0	0	1	0
Telluria	0	2	0	0	0
Tepidibacillus	0	0	0	0	2
Tepidicaulis	0	0	0	2	0
Thermoanaerobacter	1	0	0	0	1
Thermobaculum	2	0	0	0	0
Thermobifida	0	2	0	0	0
Thermodesulfobacterium	2	0	0	0	0
Thermomicrobium	2	0	0	0	0
Thermoproteus	2	0	0	0	0
Thermosynechococcus	1	0	0	1	0
Thermothelomyces	1	1	0	0	0
Thermothielavioides	1	0	0	1	0
Thiocystis	0	1	0	1	0
Thiomicrospira	1	0	0	1	0
Tichowtungia	0	2	0	0	0
Tolumonas	0	1	0	0	1
Vandammella	0	0	0	2	0
Variibacter	2	0	0	0	0
Yarrowia	2	0	0	0	0
Yinghuangia	0	0	0	2	0
Zygosaccharomyces	2	0	0	0	0
Acetilactobacillus	0	1	0	0	0
Acetohalobium	0	0	1	0	0
Acidianus	0	0	1	0	0
Acidilutibacter	0	0	0	0	1
Acidisoma	0	1	0	0	0
Actinopolyspora	0	0	0	1	0
Actinosynnema	1	0	0	0	0
Adrianbuildvirus	0	0	1	0	0
Aegicerativicinus	1	0	0	0	0
Aestuariibius	0	1	0	0	0
Agreia	0	0	1	0	0
Ahrensia	0	0	0	1	0
Algibacter	0	0	0	0	1
Aliamphritea	0	0	0	0	1
Aliirhizobium	0	0	0	0	1
Alkalibacillus	0	0	0	0	1
Alkalicella	0	0	0	1	0
Alkalihalobacillus	0	0	0	1	0
Alkalitalea	1	0	0	0	0
Allocoleopsis	0	0	0	0	1
Allorhizobium	0	1	0	0	0
Allotamlana	0	1	0	0	0
Alteriqipengyuania	0	1	0	0	0
Alterirhizorhabdus	0	0	0	0	1
Alysiella	1	0	0	0	0
Amphritea	0	0	0	0	1
Anaerobacillus	0	0	0	1	0
Anoxybacteroides	1	0	0	0	0
Antarctobacter	1	0	0	0	0
Apilactobacillus	0	0	0	0	1
Aquaspirillum	0	1	0	0	0
Aquiluna	0	1	0	0	0
Arachidicoccus	1	0	0	0	0
Arenimonas	1	0	0	0	0
Asteriusvirus	0	0	0	1	0
Aurantibacillus	0	0	0	0	1
Aureibacter	1	0	0	0	0
Aureliella	1	0	0	0	0
Azohydromonas	0	1	0	0	0
Azonexus	0	1	0	0	0
Bacteriovorax	0	0	1	0	0
Bartonella	0	0	0	0	1
Basilea	0	0	0	0	1
Beggiatoa	1	0	0	0	0
Bergeyella	1	0	0	0	0
Bernardetia	1	0	0	0	0
Besnoitia	1	0	0	0	0
Beutenbergia	0	0	1	0	0
Caldanaerobacter	0	0	0	0	1
Caldifermentibacillus	0	0	0	1	0
Caldilinea	1	0	0	0	0
Calycomorphotria	0	1	0	0	0
Candidatus_Williamhamiltonella	1	0	0	0	0
Cellvibrio	0	1	0	0	0
Chloroflexus	1	0	0	0	0
Chryseolinea	0	1	0	0	0
Conchiformibius	1	0	0	0	0
Coraliomargarita	1	0	0	0	0
Crifsvirus	0	0	0	1	0
Cruoricaptor	0	0	0	0	1
Cryptococcus	0	0	1	0	0
Cryptosporidium	0	0	1	0	0
Cylindrospermum	0	0	0	1	0
Debaryomyces	0	0	0	1	0
Deefgea	0	1	0	0	0
Desulfobacca	1	0	0	0	0
Desulfoglaeba	1	0	0	0	0
Desulfohalobium	0	1	0	0	0
Desulfonema	0	0	0	1	0
Dhakavirus	0	0	1	0	0
Dinoroseobacter	0	0	0	1	0
Dokdonia	1	0	0	0	0
Ectobacillus	0	0	0	1	0
Elizabethkingia	0	0	0	1	0
Embleya	0	1	0	0	0
Emcibacter	0	0	1	0	0
Enhydrobacter	1	0	0	0	0
Eponavirus	0	0	0	0	1
Ereboglobus	0	1	0	0	0
Evansella	0	0	0	0	1
Falsihalocynthiibacter	0	1	0	0	0
Ferrigenium	0	0	0	0	1
Ferruginibacter	1	0	0	0	0
Fibrella	1	0	0	0	0
Fischerella	0	0	1	0	0
Flagellatimonas	1	0	0	0	0
Flammeovirga	0	0	0	1	0
Flavihumibacter	0	1	0	0	0
Fodinisporobacter	0	0	0	0	1
Formicincola	0	1	0	0	0
Frederiksenia	0	0	0	1	0
Friedmanniella	1	0	0	0	0
Frigoriglobus	0	1	0	0	0
Fructobacillus	0	1	0	0	0
Fundicoccus	0	0	0	1	0
Fuscovulum	0	0	0	0	1
Gallionella	0	1	0	0	0
Geoglobus	0	0	0	1	0
Geopseudomonas	1	0	0	0	0
Giardia	0	0	0	1	0
Gibbsiella	0	1	0	0	0
Gilvimarinus	1	0	0	0	0
Glacieibacterium	1	0	0	0	0
Glaesserella	0	0	1	0	0
Glossinavirus	0	0	0	0	1
Gryllotalpicola	0	0	1	0	0
Guptibacillus	1	0	0	0	0
Haloarcula	0	0	1	0	0
Halobacteriovorax	0	0	1	0	0
Halobacteroides	0	1	0	0	0
Halococcoides	1	0	0	0	0
Halomicronema	0	0	0	0	1
Halomontanus	0	0	1	0	0
Halorhabdus	0	0	1	0	0
Halosolutus	1	0	0	0	0
Halostagnicola	1	0	0	0	0
Henningerozyma	0	0	0	1	0
Hinxtonvirus	0	0	0	0	1
Histophilus	0	1	0	0	0
Hodnevirus	0	1	0	0	0
Hwangdonia	0	0	1	0	0
Hydrocarboniclastica	0	0	0	0	1
Ignatzschineria	0	0	1	0	0
Ignavibacterium	0	0	1	0	0
Ignavigranum	0	0	0	0	1
Imperialibacter	0	1	0	0	0
Intrasporangium	0	1	0	0	0
Isoalcanivorax	1	0	0	0	0
Jejubacter	1	0	0	0	0
Ketobacter	1	0	0	0	0
Kingella	1	0	0	0	0
Kluyveromyces	0	0	0	0	1
Koinonema	0	1	0	0	0
Kozakia	0	0	1	0	0
Kyrpidia	1	0	0	0	0
Kytococcus	1	0	0	0	0
Labrys	0	0	1	0	0
Laceyella	0	0	1	0	0
Lacimicrobium	1	0	0	0	0
Lacipirellula	0	1	0	0	0
Lawsonella	0	0	0	0	1
Lawsonia	0	1	0	0	0
Leadbettera	1	0	0	0	0
Lentavirus	0	0	0	1	0
Leptolyngbya	0	1	0	0	0
Limnoglobus	0	0	1	0	0
Lutimonas	1	0	0	0	0
Lyngbya	1	0	0	0	0
Lysinibacter	1	0	0	0	0
Magnetospira	0	0	0	1	0
Mameliella	1	0	0	0	0
Mangrovibacillus	0	0	0	1	0
Marichromatium	0	1	0	0	0
Maricurvus	0	1	0	0	0
Marilutibacter	1	0	0	0	0
Mariniblastus	0	0	0	0	1
Marivita	1	0	0	0	0
Meganvirus	0	1	0	0	0
Mesoflavibacter	1	0	0	0	0
Mesoplasma	0	0	0	1	0
Methanocorpusculum	0	1	0	0	0
Methanofollis	1	0	0	0	0
Methanogenium	1	0	0	0	0
Methanohalophilus	0	0	0	1	0
Methanolapillus	1	0	0	0	0
Methanomethylophilus	0	1	0	0	0
Methanoplanus	0	1	0	0	0
Methanothermobacter	0	1	0	0	0
Methanothrix	0	1	0	0	0
Methylocella	0	0	0	0	1
Methyloprofundus	1	0	0	0	0
Methylovulum	0	1	0	0	0
Micropruina	1	0	0	0	0
Moellerella	0	0	1	0	0
Motiliproteus	0	0	1	0	0
Muscodensovirus	0	0	0	1	0
Musicola	1	0	0	0	0
Mycetohabitans	0	1	0	0	0
Mycosarcoma	1	0	0	0	0
Nanobdella	0	0	1	0	0
Neokomagataea	0	1	0	0	0
Neospora	1	0	0	0	0
Neptuniibacter	0	0	0	0	1
Neurospora	0	0	0	1	0
Nevskia	1	0	0	0	0
Niabella	0	1	0	0	0
Nitrincola	0	0	0	1	0
Nitrosococcus	1	0	0	0	0
Nitrosophilus	0	0	0	0	1
Nitrosopumilus	0	0	1	0	0
Nitrosospira	0	1	0	0	0
Nodosilinea	1	0	0	0	0
Nostocoides	1	0	0	0	0
Novilysobacter	1	0	0	0	0
Obesumbacterium	0	1	0	0	0
Oceanicaulis	1	0	0	0	0
Oceanicola	0	0	0	1	0
Orrella	1	0	0	0	0
Orthobunyavirus	0	1	0	0	0
Paenacidovorax	1	0	0	0	0
Paenisporosarcina	0	0	1	0	0
Paralcaligenes	0	1	0	0	0
Paraliobacillus	0	0	0	0	1
Paramagnetospirillum	0	1	0	0	0
Parasalinivibrio	1	0	0	0	0
Parasphaerochaeta	1	0	0	0	0
Parelusimicrobium	0	0	0	1	0
Pedococcus	1	0	0	0	0
Peredibacter	0	0	0	1	0
Persicimonas	1	0	0	0	0
Peteryoungia	1	0	0	0	0
Phadecavirus	0	0	1	0	0
Phocoenobacter	1	0	0	0	0
Piscinibacterium	1	0	0	0	0
Piscirickettsia	0	1	0	0	0
Podospora	1	0	0	0	0
Ponticoccus	0	0	0	0	1
Porifericola	1	0	0	0	0
Prauserella	0	0	1	0	0
Profundibacter	0	1	0	0	0
Propionimicrobium	1	0	0	0	0
Pseudemcibacter	1	0	0	0	0
Pseudobacter	0	0	0	0	1
Pseudocnuella	0	0	0	0	1
Pseudogemmobacter	0	1	0	0	0
Pseudorhodoplanes	1	0	0	0	0
Pseudoroseicyclus	0	0	0	1	0
Psychromonas	0	0	1	0	0
Qingshengfaniella	0	1	0	0	0
Rippkaea	0	0	0	1	0
Rodentibacter	1	0	0	0	0
Roseivirga	0	0	1	0	0
Roseobacter	1	0	0	0	0
Rubellicoccus	0	0	0	1	0
Ruicaihuangia	1	0	0	0	0
Rummeliibacillus	1	0	0	0	0
Salinicoccus	0	1	0	0	0
Salinilacihabitans	0	1	0	0	0
Salinispora	1	0	0	0	0
Salipaludibacillus	0	0	0	1	0
Saprospira	1	0	0	0	0
Secundilactobacillus	1	0	0	0	0
Sedimenticola	0	0	0	0	1
Sedimentisphaera	1	0	0	0	0
Sediminibacterium	1	0	0	0	0
Segniliparus	1	0	0	0	0
Shimwellia	0	1	0	0	0
Shouchella	1	0	0	0	0
Sideroxyarcus	1	0	0	0	0
Simiduia	1	0	0	0	0
Simonsiella	1	0	0	0	0
Solilutibacter	1	0	0	0	0
Sordaria	0	0	0	0	1
Sphingosinicella	0	0	0	1	0
Spirobacillus	1	0	0	0	0
Spongiibacter	0	0	0	1	0
Sporisorium	1	0	0	0	0
Staphylothermus	0	0	0	1	0
Steroidobacter	0	1	0	0	0
Stigmatella	1	0	0	0	0
Stratiformator	1	0	0	0	0
Suicoccus	1	0	0	0	0
Sulfolobus	0	0	0	1	0
Sulfuracidifex	0	0	0	0	1
Sulfuricella	0	1	0	0	0
Sulfuricurvum	0	0	0	1	0
Sulfurimicrobium	0	1	0	0	0
Taylorella	1	0	0	0	0
Tepidanaerobacter	0	1	0	0	0
Terasakiella	0	0	0	1	0
Teredinibacter	0	1	0	0	0
Thalassiosira	0	0	0	0	1
Theileria	0	0	0	1	0
Thermochromatium	0	1	0	0	0
Thermocoleostomius	0	0	0	1	0
Thermodesulfobium	0	0	1	0	0
Thermoflavifilum	1	0	0	0	0
Thermoleptolyngbya	0	1	0	0	0
Thermosediminibacter	1	0	0	0	0
Thioalkalivibrio	0	1	0	0	0
Thioclava	0	1	0	0	0
Vaginimicrobium	0	0	0	1	0
Vulcanimicrobium	0	1	0	0	0
Waddlia	0	0	0	1	0
Wenzhouxiangella	1	0	0	0	0
Wielerella	1	0	0	0	0
Williamsia	0	1	0	0	0
Wohlfahrtiimonas	0	0	0	1	0
Xylella	0	1	0	0	0
Zhaonella	1	0	0	0	0
Zhihengliuella	1	0	0	0	0
Zobellia	1	0	0	0	0
Zophobihabitans	0	1	0	0	0
Zymobacter	0	1	0	0	0
Zymomonas	0	0	0	1	0
Zymoseptoria	0	0	0	1	0
Acaryochloris	0	0	0	0	0
Acidothermus	0	0	0	0	0
Actinopolymorpha	0	0	0	0	0
Adhaeretor	0	0	0	0	0
Aerosticca	0	0	0	0	0
Aestuariispira	0	0	0	0	0
Albidovulum	0	0	0	0	0
Algimonas	0	0	0	0	0
Algirhabdus	0	0	0	0	0
Alishewanella	0	0	0	0	0
Amaricoccus	0	0	0	0	0
Aminirod	0	0	0	0	0
Anaerocellum	0	0	0	0	0
Anatilimnocola	0	0	0	0	0
Aquicoccus	0	0	0	0	0
Aquipluma	0	0	0	0	0
Archaeoglobus	0	0	0	0	0
Arsenophonus	0	0	0	0	0
Aurantimonas	0	0	0	0	0
Billgrantia	0	0	0	0	0
Botrimarina	0	0	0	0	0
Brachymonas	0	0	0	0	0
Candidatus_Caldatribacterium	0	0	0	0	0
Candidatus_Endomicrobiellum	0	0	0	0	0
Candidatus_Methylocalor	0	0	0	0	0
Chitinivorax	0	0	0	0	0
Cutaneotrichosporon	0	0	0	0	0
Dankookia	0	0	0	0	0
Devriesea	0	0	0	0	0
Elioraea	0	0	0	0	0
Enterovibrio	0	0	0	0	0
Fluviibacter	0	0	0	0	0
Fontivita	0	0	0	0	0
Frateuria	0	0	0	0	0
Frigidibacter	0	0	0	0	0
Fromanvirus	0	0	0	0	0
Geovibrio	0	0	0	0	0
Glycocaulis	0	0	0	0	0
Granulosicoccus	0	0	0	0	0
Gynuella	0	0	0	0	0
Halodesulfurarchaeum	0	0	0	0	0
Halohasta	0	0	0	0	0
Halotalea	0	0	0	0	0
Helcobacillus	0	0	0	0	0
Hirschia	0	0	0	0	0
Homoserinibacter	0	0	0	0	0
Homoserinimonas	0	0	0	0	0
Ideonella	0	0	0	0	0
Indioceanicola	0	0	0	0	0
Ittyvirus	0	0	0	0	0
Limimaricola	0	0	0	0	0
Lonepinella	0	0	0	0	0
Luminiphilus	0	0	0	0	0
Luteimicrobium	0	0	0	0	0
Marfavirus	0	0	0	0	0
Marinimicrobium	0	0	0	0	0
Marinithermus	0	0	0	0	0
Marivivens	0	0	0	0	0
Methylacidiphilum_(ex_Ratnadevi_et_al._2023)	0	0	0	0	0
Methylocapsa	0	0	0	0	0
Methylomarinovum	0	0	0	0	0
Methylomicrobium	0	0	0	0	0
Methylophaga	0	0	0	0	0
Methylotuvimicrobium	0	0	0	0	0
Microterricola	0	0	0	0	0
Mobiluncus	0	0	0	0	0
Natribaculum	0	0	0	0	0
Natronorarus	0	0	0	0	0
Natronorubrum	0	0	0	0	0
Neolewinella	0	0	0	0	0
Nitratifractor	0	0	0	0	0
Ochrobactrum	0	0	0	0	0
Oecophyllibacter	0	0	0	0	0
Oxynema	0	0	0	0	0
Paralysiella	0	0	0	0	0
Pararhodospirillum	0	0	0	0	0
Parasedimentitalea	0	0	0	0	0
Parathermosynechococcus	0	0	0	0	0
Paraurantiacibacter	0	0	0	0	0
Parvibaculum	0	0	0	0	0
Photorhabdus	0	0	0	0	0
Polymorphum	0	0	0	0	0
Pseudothermotoga	0	0	0	0	0
Psilocybe	0	0	0	0	0
Pulveribacter	0	0	0	0	0
Rhodocytophaga	0	0	0	0	0
Rhodoluna	0	0	0	0	0
Roseibacillus	0	0	0	0	0
Roseicyclus	0	0	0	0	0
Rubinisphaera	0	0	0	0	0
Salinirarus	0	0	0	0	0
Salinivibrio	0	0	0	0	0
Scrofimicrobium	0	0	0	0	0
Serpentinimonas	0	0	0	0	0
Shimia	0	0	0	0	0
Simplicispira	0	0	0	0	0
Sphaerisporangium	0	0	0	0	0
Tateyamaria	0	0	0	0	0
Tepidimonas	0	0	0	0	0
Thalassococcus	0	0	0	0	0
Thaumasiovibrio	0	0	0	0	0
Thermithiobacillus	0	0	0	0	0
Thermodesulfatator	0	0	0	0	0
Thermotoga	0	0	0	0	0
Thiomonas	0	0	0	0	0
Thiosocius	0	0	0	0	0
Tolypothrix	0	0	0	0	0
Trichocoleus	0	0	0	0	0
Trypanosoma	0	0	0	0	0
Uruburuella	0	0	0	0	0
Varunaivibrio	0	0	0	0	0
Winslowiella	0	0	0	0	0
