# Pathway	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
PWY-5896: superpathway of menaquinol-10 biosynthesis	0.000184155	0.000153931	9.09033e-05	0.000105243	0	3.87323e-05	8.05828e-05	0.000183611	0.000241085	0.000184715	0.00016728	0	1.76127e-05	0	0	4.52582e-05	3.51295e-05	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	0.000199131	0.000162708	9.84046e-05	0.000113539	1.49473e-05	5.40166e-05	8.66407e-05	0.000207468	0.000270372	0.000234728	0.000203757	1.47175e-05	2.73799e-05	1.55875e-05	3.59498e-06	4.81954e-05	4.99657e-05	4.61531e-06
PWY-5898: superpathway of menaquinol-12 biosynthesis	0.000199131	0.000162708	9.84046e-05	0.000113539	1.49473e-05	5.40166e-05	8.66407e-05	0.000207468	0.000270372	0.000234728	0.000203757	1.47175e-05	2.73799e-05	1.55875e-05	3.59498e-06	4.81954e-05	4.99657e-05	4.61531e-06
PWY-5899: superpathway of menaquinol-13 biosynthesis	0.000199131	0.000162708	9.84046e-05	0.000113539	1.49473e-05	5.40166e-05	8.66407e-05	0.000207468	0.000270372	0.000234728	0.000203757	1.47175e-05	2.73799e-05	1.55875e-05	3.59498e-06	4.81954e-05	4.99657e-05	4.61531e-06
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	2.77169e-06	0	6.67929e-06	1.29189e-06	9.55318e-07	8.66769e-07	0	0	0	0	0	6.40415e-06	1.30727e-05	1.16036e-05	1.1867e-06	1.71354e-06	0	0
PWY-5913: partial TCA cycle (obligate autotrophs)	0.000272487	0.000221522	0.000118575	0.000138609	1.23914e-05	4.96634e-05	0.000116625	0.000295814	0.000311222	0.000357818	0.000317801	7.40655e-05	9.65528e-05	5.87319e-05	3.52436e-06	8.18907e-05	9.97856e-05	8.71704e-06
PWY-5918: superpathway of heme b biosynthesis from glutamate	0.000200254	0.000157309	8.75008e-05	6.91905e-05	3.17765e-06	3.96469e-05	6.55788e-05	0.000256497	0.000295247	0.00025341	0.00021606	0	1.71135e-05	1.93827e-05	1.71625e-06	6.51372e-05	4.43161e-05	3.55911e-06
PWY-5920: superpathway of heme b biosynthesis from glycine	0.000149927	0.000119395	6.33455e-05	4.56631e-05	0	2.39808e-05	4.64069e-05	0.000219779	0.000240061	0.000217559	0.000173168	0	7.6972e-06	9.01124e-06	1.03036e-06	3.8526e-05	2.76368e-05	1.8806e-06
PWY-5941: glycogen degradation II	0.000421587	0.000373398	0.000434432	0.000461752	0.000454681	0.000512264	0.000507994	0.000395211	0.000530035	0.000528917	0.000466171	0.000919417	0.000963881	0.000898099	0.00111918	0.000779247	0.000833245	0.000455548
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	0.000324948	0.000239158	0.000222139	0.000252078	1.86696e-05	0.000138077	0.000200372	0.000261965	0.000324611	0.000387263	0.000296463	4.50635e-05	5.03524e-05	4.19874e-05	4.42369e-05	8.01168e-05	5.81182e-05	1.59528e-05
PWY-5972: stearate biosynthesis I (animals)	7.50138e-07	8.07285e-07	7.15036e-06	1.4061e-06	0	1.91303e-06	0	0	1.28432e-06	5.00467e-06	0	0	0	0	0	0	8.77242e-06	4.84013e-07
PWY-5973: cis-vaccenate biosynthesis	0.000278042	0.000202661	0.000255976	0.000268399	0.000365564	0.000263847	0.000235681	0.000189682	0.000261863	0.000333339	0.000241799	5.13638e-05	8.46431e-05	8.77446e-05	5.83472e-05	7.22379e-05	4.95136e-05	4.23945e-05
PWY-5981: CDP-diacylglycerol biosynthesis III	5.74954e-05	6.78742e-05	5.6199e-05	8.93461e-05	6.84657e-06	2.70395e-05	2.81901e-05	3.99719e-05	5.50739e-05	6.4106e-05	5.58662e-05	7.73623e-05	0.00015651	8.94042e-05	1.99586e-05	5.12209e-05	3.50842e-05	1.2789e-06
PWY-5989: stearate biosynthesis II (bacteria and plants)	0.00028559	0.000209324	0.000188115	0.000220769	3.56933e-05	0.000106556	0.000189056	0.000217843	0.00027598	0.000316734	0.000250664	4.32407e-05	5.52631e-05	3.26214e-05	4.04422e-05	7.26759e-05	4.98299e-05	1.21701e-05
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10055e-05	0	0	0
PWY-6071: superpathway of phenylethylamine degradation	0	2.00763e-05	2.37682e-06	8.48499e-06	0	0	0	3.41132e-05	4.99129e-05	0	1.84124e-05	0	0	0	0	0	2.746e-06	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0.000381854	0.00035652	0.000404594	0.000334886	0.000422594	0.000418046	0.000378451	0.000363684	0.000454623	0.000449517	0.000390702	0.000542995	0.000558407	0.00060254	0.000540084	0.000517166	0.000497502	0.000482371
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0.000400861	0.000364389	0.000441341	0.000359652	0.00056052	0.000440348	0.000404369	0.000424443	0.000539462	0.000492277	0.000414755	0.000553914	0.000567404	0.000609852	0.000566975	0.000531564	0.000519311	0.0004867
PWY-6123: inosine-5'-phosphate biosynthesis I	0.000246101	0.000201	0.000262294	0.000244975	0.000280783	0.000304613	0.000256979	0.00020903	0.000298509	0.000278033	0.00025912	0.000469084	0.000521252	0.00047386	0.000511164	0.000416128	0.00039411	0.000250578
PWY-6124: inosine-5'-phosphate biosynthesis II	0.000224194	0.000150524	0.000243368	0.00022998	0.000251878	0.000282083	0.000238555	0.000153791	0.000220237	0.000229206	0.000219013	0.000442305	0.000492341	0.000439236	0.000474788	0.000388849	0.000366666	0.000225477
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	0.000160223	0.000208321	0.000193615	0.000204818	0.000116016	0.000183234	0.000176671	0.000250476	0.000286839	0.000265493	0.000253533	0.000125533	0.000154344	0.000166712	1.35195e-05	0.000143967	0.000112005	0.000200624
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	0.000197087	0.000244908	0.000255089	0.000254735	0.0001573	0.000233983	0.000225189	0.000225438	0.000304757	0.000285848	0.000301716	0.000170495	0.00020574	0.000214714	2.00182e-05	0.000191085	0.000153268	0.000262856
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	0	0	0	0	0	4.18779e-07	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6143: CMP-pseudaminate biosynthesis	2.63331e-06	9.98309e-07	2.01303e-06	0	0	3.96156e-07	1.22786e-06	0	0	3.84655e-06	0	0	0	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0.000157041	0.000203423	0.000110294	0.000170788	0.000130208	0.000154342	0.000153651	0.000214615	0.000246865	0.000285575	0.00016422	1.3073e-05	2.87652e-05	2.31534e-05	9.54808e-06	4.47534e-05	4.72592e-05	3.04459e-05
PWY-6151: S-adenosyl-L-methionine salvage I	0.000225849	0.000225562	0.000344277	0.00032525	0.000572714	0.000451001	0.000371372	0.000184734	0.000259626	0.000286305	0.00028212	0.000560256	0.000643333	0.000587604	0.000607173	0.000534945	0.000516502	0.000470575
PWY-6160: 3-dehydroquinate biosynthesis II (archaea)	0	1.52105e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	0.000316504	0.000273698	0.000405742	0.000401579	0.000621824	0.000485157	0.000440743	0.000263874	0.000292279	0.000243976	0.000311854	0.000635114	0.000664184	0.000652277	0.000650133	0.000613612	0.000600135	0.000641666
PWY-6165: chorismate biosynthesis II (archaea)	0	3.70093e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6167: flavin biosynthesis II (archaea)	0	5.50191e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6168: flavin biosynthesis III (fungi)	0.000155367	0.000166733	0.0001099	0.000111237	6.193e-05	2.52819e-05	1.12736e-05	0.000100982	0.000178229	0.000175048	0.000181274	0	1.60244e-05	4.11955e-05	0	8.35845e-05	0.000151189	5.01714e-06
PWY-6174: mevalonate pathway II (haloarchaea)	6.10231e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6182: superpathway of salicylate degradation	9.48203e-07	3.73247e-06	1.84827e-05	5.51493e-05	0	8.11377e-07	3.82577e-05	0	0	7.87136e-06	1.36382e-05	0	0	0	0	0	1.95958e-06	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	1.46003e-06	6.10029e-06	1.78815e-05	6.36807e-05	0	6.48905e-07	3.96784e-05	0	0	7.97056e-06	1.69382e-05	0	1.82235e-06	0	0	0	1.81738e-06	0
PWY-6210: 2-aminophenol degradation	0	3.21557e-07	3.73066e-06	1.66422e-07	0	1.53038e-07	1.31781e-07	0	0	0	8.67516e-07	0	0	4.23151e-07	0	0	0	0
PWY-6215: 4-chlorobenzoate degradation	2.43709e-07	8.97445e-06	3.24554e-06	2.34266e-06	0	1.18241e-07	0	3.50471e-07	0	7.46675e-06	2.07874e-05	0	2.33601e-07	0	0	3.12824e-07	2.08112e-06	0
PWY-621: sucrose degradation III (sucrose invertase)	0.000179562	0.000160177	0.000148735	0.000212667	3.35133e-05	6.33964e-05	0.000189012	0.000319861	0.000309853	0.000227414	0.000198838	0.000178953	0.000124604	9.37087e-05	2.98218e-05	0.000156439	0.000107598	7.36014e-05
PWY-622: starch biosynthesis	0	0	0	0	0	0	0	1.49409e-06	0	0	0	0.000147997	3.6254e-05	0	0.000287039	9.31275e-05	9.94977e-05	4.18514e-06
PWY-6270: isoprene biosynthesis I	0.000248847	0.000230819	0.000271404	0.000279855	0.00029485	0.000303183	0.000302928	0.000146022	0.000247789	0.000240382	0.000283812	0.000519546	0.000473565	0.000502727	0.000555485	0.000454841	0.000472931	0.000150936
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0.000400861	0.000364389	0.000441341	0.000359652	0.00056052	0.000440348	0.000404369	0.000424443	0.000539462	0.000492277	0.000414755	0.000553914	0.000567404	0.000609852	0.000566975	0.000531564	0.000519311	0.0004867
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	0.000304363	0.000221787	0.000215926	0.000240212	1.52518e-05	0.000109645	0.000193557	0.000234304	0.00029622	0.000365615	0.000274904	4.04349e-05	4.54554e-05	3.17787e-05	3.73654e-05	6.82436e-05	4.88386e-05	1.17657e-05
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0.000216914	0.000160131	9.77848e-05	0.000131048	1.68758e-05	7.5142e-05	8.1131e-05	0.000200752	0.000234739	0.000256219	0.000206574	1.72194e-05	5.00384e-05	2.32283e-05	2.42654e-05	6.8939e-05	3.95617e-05	7.38591e-06
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0.000245126	0.000186733	0.000139906	0.000176558	1.50174e-05	9.2392e-05	0.000119363	0.000216245	0.00026367	0.000293449	0.000238566	2.20801e-05	4.47981e-05	2.43678e-05	6.80874e-06	7.4078e-05	4.74298e-05	6.32238e-06
PWY-6292: superpathway of L-cysteine biosynthesis (mammalian)	3.11514e-06	9.55993e-06	9.04749e-05	8.03269e-05	8.03552e-05	5.42292e-05	8.43394e-05	1.70837e-06	6.57255e-06	2.36969e-05	2.15069e-05	3.6066e-05	1.72702e-05	4.25379e-05	3.96573e-05	3.68824e-05	4.68434e-05	0.000146037
PWY-6293: superpathway of L-cysteine biosynthesis (fungi)	7.21337e-06	1.97404e-05	2.75171e-05	7.25288e-05	0	5.85931e-06	6.12374e-05	3.68324e-06	1.37917e-05	2.46404e-05	3.27e-05	0	2.15239e-06	4.03706e-06	0	9.63567e-06	2.35146e-05	3.7109e-06
PWY-6305: superpathway of putrescine biosynthesis	0.000219794	0.000191646	0.000125815	0.000144423	3.24626e-05	8.00853e-05	0.00014464	0.000383852	0.000435959	0.000313019	0.000193728	7.01981e-06	2.08442e-05	1.28875e-05	4.66955e-06	6.53548e-05	0.000103597	2.18964e-05
PWY-6317: D-galactose degradation I (Leloir pathway)	0.000290919	0.000229188	0.000279475	0.000271786	0.00032454	0.00033458	0.000298302	0.000263437	0.000350578	0.00030146	0.000279503	0.000618215	0.000537561	0.000551766	0.000586379	0.000445504	0.000465115	0.00031201
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	2.93595e-06	3.20151e-06	5.77837e-06	7.15444e-06	0	4.58723e-07	0	4.57683e-06	4.94537e-06	8.12771e-06	2.33413e-05	0	8.01981e-07	0	0	0	1.66196e-06	0
PWY-6328: L-lysine degradation X	5.25061e-05	3.30348e-05	4.65607e-06	2.85936e-06	0	5.25768e-07	0	9.37775e-05	9.3406e-05	0.000119266	1.98263e-05	0	0	4.60485e-07	0	1.90169e-06	3.64444e-06	0
PWY-6349: CDP-archaeol biosynthesis	0	1.47847e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6350: archaetidylinositol biosynthesis	0	1.4075e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6353: purine nucleotides degradation II (aerobic)	0.000232945	0.000283032	0.000161539	0.000147392	0.000113122	0.000100257	8.90326e-05	0.000353224	0.000425425	0.000339398	0.000301137	0.000199965	0.000136855	0.000108855	4.14132e-05	0.000182081	0.000210371	4.81041e-05
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0.000372548	0.00033123	0.000398923	0.000376291	0.000579226	0.0004557	0.000406019	0.00033051	0.000439117	0.000396399	0.000439908	0.000602396	0.000570037	0.000596639	0.000634914	0.000508571	0.000529126	0.000502649
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0.00035612	0.000310817	0.000402254	0.000387548	0.000596216	0.000491337	0.000413636	0.0002764	0.000367676	0.000346132	0.000391313	0.000649891	0.000636112	0.000672388	0.000673097	0.000566347	0.00058076	0.000558358
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0.000369697	0.000315693	0.000399792	0.000378571	0.000590369	0.000485281	0.000410777	0.000305861	0.000410767	0.000370074	0.000418247	0.000624152	0.000619587	0.000645385	0.000648288	0.000551385	0.000561965	0.000548139
PWY-6396: superpathway of 2,3-butanediol biosynthesis	1.40088e-06	0	0	0	0	0	0	0	0	0	0	0	0	2.26628e-06	0	0	0	0
PWY-6435: 4-hydroxybenzoate biosynthesis III (plants)	0	0	0	0	0	5.08961e-07	0	0	0	0	0	0	5.67751e-06	0	2.65326e-06	1.37372e-05	4.05046e-06	6.46877e-07
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	0	0	0	9.49643e-07	0	0	0	0	0	0	0	0	0	7.30503e-07	0	8.61211e-07	0	0
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)	1.34037e-05	9.87243e-06	3.57655e-05	0.000102098	8.38146e-05	0.000140322	0.000112805	9.20057e-07	0	7.66242e-07	5.31847e-05	9.98893e-05	0.000174685	0.000105249	4.52072e-05	0.000126726	5.0884e-05	4.46935e-05
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium)	0	0	2.42328e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	0	8.23409e-07	0	0	0	7.41698e-07	0	0	7.55597e-07	0	1.51032e-06	0	0	0	0	0	0	0
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	0.000130005	0.000122488	0.00011699	9.67558e-05	6.84888e-05	6.0048e-05	0.00011629	9.94198e-05	0.000110279	0.000113636	0.000131087	3.20667e-05	7.64338e-05	3.24676e-05	3.92924e-05	6.09604e-05	7.02928e-05	7.7537e-05
PWY-6518: bile acids epimerization	1.05332e-06	0	0	0	0	0	0	0	0	0	0	2.77872e-06	0	0	0	0	0	0
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	0.000270019	0.000210749	0.000155422	0.000161788	1.38408e-05	0.00010433	0.00016252	0.00024394	0.000290114	0.000348247	0.00026957	3.58262e-06	4.27001e-05	3.30502e-05	9.7415e-06	5.83296e-05	5.39114e-05	1.30752e-05
PWY-6527: stachyose degradation	0.000288729	0.000224156	0.000261815	0.000245854	0.000315136	0.000294087	0.000287085	0.000187	0.000273577	0.00025132	0.000257572	0.000592452	0.000535461	0.000467661	0.000733673	0.00043443	0.000420726	0.000383888
PWY-6531: mannitol cycle	0.000132131	0.000143691	4.76807e-05	3.42813e-05	0	1.00419e-05	3.31656e-05	0.000245499	0.000278907	0.000200258	0.000179443	2.18542e-07	4.54656e-06	1.16119e-05	0	3.53674e-05	4.33225e-05	1.0183e-06
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III	6.95342e-05	0.000162618	9.03765e-05	0.000136358	2.96369e-06	4.49436e-05	9.13796e-05	7.8821e-05	0.000179437	0.000133193	0.000209865	1.94852e-06	1.23215e-05	2.16672e-05	1.10482e-05	3.51402e-05	5.90049e-05	2.47846e-06
PWY-6549: L-glutamine biosynthesis III	8.16093e-06	2.31546e-05	0.000116238	0.000130164	3.10357e-05	9.19904e-05	0.000134665	6.3657e-06	7.26562e-06	2.52064e-05	3.50808e-05	0.000101047	0.00012171	0.000113583	8.8784e-06	0.000113066	0.000129053	3.20548e-05
PWY-6562: norspermidine biosynthesis	8.45125e-07	3.74922e-06	1.73501e-05	2.98335e-05	0	1.73821e-06	2.81759e-05	0	0	1.43939e-05	1.53932e-05	0	2.46038e-06	1.53246e-06	0	0	1.61995e-06	0
PWY-6572: chondroitin sulfate degradation I (bacterial)	0	8.23115e-07	9.19466e-07	0	0	5.13009e-06	7.99174e-07	0	3.39159e-06	0	0	0	0	0	0	0	0	0
PWY-6588: pyruvate fermentation to acetone	3.54232e-05	1.3159e-05	2.07254e-05	7.46403e-06	2.30711e-05	2.51119e-05	2.36846e-05	2.36595e-05	0.000110451	1.56983e-05	2.61369e-05	7.64844e-06	1.09116e-05	1.12006e-05	2.2786e-06	3.3547e-06	1.24648e-05	1.35962e-05
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation	1.68584e-06	1.89448e-05	4.6091e-05	3.87887e-05	2.72126e-05	3.95458e-05	3.57839e-05	8.17677e-06	1.80275e-05	5.21486e-06	3.3957e-05	1.14182e-05	2.39822e-05	4.27684e-05	1.81502e-05	2.92647e-05	1.32744e-05	4.15301e-05
PWY-6595: superpathway of guanosine nucleotides degradation (plants)	4.74353e-06	7.00487e-06	1.89931e-05	9.80566e-06	7.66296e-06	5.16805e-06	2.33359e-05	3.73888e-06	2.3409e-06	3.37511e-06	1.03859e-05	3.24257e-05	8.55511e-06	1.44945e-05	2.10473e-05	5.72409e-06	1.62348e-05	5.58897e-06
PWY-6606: guanosine nucleotides degradation II	0.000125946	0.000207972	9.83122e-05	8.97074e-05	6.21717e-05	5.64039e-05	4.88907e-05	0.00027706	0.000290872	0.000267649	0.000197106	0.000133845	7.01389e-05	5.85375e-05	4.54152e-05	0.000119427	0.000144294	2.19249e-05
PWY-6607: guanosine nucleotides degradation I	4.78866e-06	7.04756e-06	1.93316e-05	9.80361e-06	7.73716e-06	5.19078e-06	2.2282e-05	3.74859e-06	2.34494e-06	3.3839e-06	1.05187e-05	3.1737e-05	8.43489e-06	1.40574e-05	1.65252e-05	5.70815e-06	1.61518e-05	5.89651e-06
PWY-6608: guanosine nucleotides degradation III	0.000430031	0.000386245	0.000138478	0.000168565	9.37393e-05	9.3335e-05	0.000206836	0.000506262	0.000647039	0.000409408	0.000521237	0.000339213	0.000304586	0.000259095	0.000303727	0.000261778	0.000279625	5.93094e-05
PWY-6609: adenine and adenosine salvage III	0.000318168	0.000322292	0.000422441	0.000406834	0.000579309	0.000499405	0.00043687	0.000245219	0.000356988	0.000268401	0.000350732	0.000608083	0.000641856	0.000634442	0.000700937	0.000547399	0.000503329	0.000613255
PWY-6612: superpathway of tetrahydrofolate biosynthesis	0.00014688	0.000102283	3.52593e-05	7.2356e-05	2.79566e-05	4.0698e-05	3.60744e-05	0.000174514	0.000179848	0.000103732	0.000125313	3.92853e-05	4.48491e-05	5.43046e-05	1.18278e-05	6.94878e-05	5.26879e-05	3.4041e-06
PWY-6628: superpathway of L-phenylalanine biosynthesis	0.000152911	0.00011486	0.000159346	0.000210713	0.000170195	0.000216029	0.000149752	9.64909e-05	0.000116315	0.000182286	0.000130034	0.000200891	0.000262988	0.000238592	0.000339009	0.000270875	0.000237059	0.000311566
PWY-6630: superpathway of L-tyrosine biosynthesis	9.55861e-05	9.0194e-05	0.000117079	0.000197217	6.80191e-05	0.000151628	9.81245e-05	7.29685e-05	8.58883e-05	9.46306e-05	9.67545e-05	0.000115756	0.000242896	0.00022327	3.08186e-05	0.000101802	9.17663e-05	0.000115661
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	0.000118951	0.000108252	3.69669e-05	5.43139e-05	0	1.19412e-06	4.29092e-05	0.00021486	0.000243422	0.000205998	0.000147834	0	3.32293e-06	3.23572e-06	0	1.29768e-05	1.79349e-05	9.53871e-07
PWY-6700: queuosine biosynthesis I (de novo)	0.000215539	0.000206641	0.000330656	0.000300417	0.000482558	0.000383718	0.000315049	0.000241729	0.000286466	0.000233726	0.000241226	0.000419695	0.000456606	0.00043551	0.000403949	0.000431168	0.000426987	0.000546072
PWY-6703: preQ0 biosynthesis	0.000179015	0.000139382	0.000141452	0.000174667	0.000341422	0.000183787	0.000164114	0.000139886	0.000188488	0.000211646	0.000140176	0.00017496	0.000191352	0.000167211	0.000148268	0.000157618	0.000149794	0.000129775
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	3.44802e-05	9.72358e-06	4.91872e-06	1.70763e-06	0	0	0	1.47998e-05	0	2.62853e-05	1.15787e-05	0	0	0	0	3.12414e-06	2.58144e-06	0
PWY-6731: starch degradation III	0.000146328	0.000168557	7.71682e-05	0.000106709	9.52065e-05	0.000108066	0.000106992	0.000181631	0.000247519	4.55393e-05	0.00016794	0.000272151	0.000207814	0.000244353	0.000292313	0.000219527	0.000269494	2.94442e-05
PWY-6749: CMP-legionaminate biosynthesis I	0	5.45549e-07	0	0	0	1.70357e-06	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing	0.00025042	0.000275157	7.65824e-05	0.000120284	1.43881e-06	3.03829e-05	9.02945e-05	0.0003083	0.00034291	0.000285215	0.000276367	1.23131e-06	9.23559e-06	1.39213e-05	0	7.50038e-05	8.23704e-05	7.83811e-06
PWY-6807: xyloglucan degradation II (exoglucanase)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.39748e-07	0	0	0
PWY-6823: molybdopterin biosynthesis	0.000109354	0.000122658	0.000207134	0.00024908	0.000232738	0.000262594	0.000231879	0.000132701	0.000151346	0.000195605	0.000161769	0.000514865	0.00045392	0.000449298	0.000546319	0.000417448	0.000394193	0.000532827
PWY-6859: all-trans-farnesol biosynthesis	6.05018e-05	7.72976e-05	3.05167e-05	1.82628e-05	2.08176e-05	4.85514e-05	4.58591e-05	4.77017e-05	6.91663e-05	8.03627e-05	7.74134e-05	4.9081e-06	7.74151e-06	9.10277e-06	6.83057e-06	8.52237e-06	2.52513e-06	3.86236e-06
PWY-6876: isopropanol biosynthesis (engineered)	0	5.5475e-06	1.01165e-06	0	0	0	0	5.42058e-07	0	3.68234e-07	0	2.77774e-06	0	8.87212e-07	0	0	0	1.88226e-06
PWY-6895: superpathway of thiamine diphosphate biosynthesis II	0.000230507	0.000186469	0.00016789	0.000152744	0.000143595	0.00015134	0.00016444	0.000188702	0.000233706	0.000248537	0.00020375	1.53315e-06	4.03088e-05	4.60657e-05	9.87938e-06	7.34675e-05	8.01866e-05	2.16395e-05
PWY-6897: thiamine diphosphate salvage II	0.000198873	0.000158697	0.000197231	0.000267721	0.000319656	0.000238113	0.000217249	0.000170296	0.000211407	0.000216275	0.000191266	0.00020661	0.000346207	0.000333257	0.000341106	0.00029406	0.000177252	0.000358003
PWY-6901: superpathway of glucose and xylose degradation	0.000275421	0.000283729	0.000185276	0.000188826	7.66778e-05	0.000132477	0.000200356	0.000273783	0.000355042	0.00028142	0.000295393	8.82217e-05	0.00013334	9.11225e-05	0.000218689	0.000158242	0.000143018	7.61607e-05
PWY-6902: chitin degradation II (Vibrio)	9.49057e-05	0.000108117	5.67143e-05	6.10556e-05	2.85026e-05	5.63126e-05	7.65615e-05	1.07162e-05	1.53019e-05	2.64815e-05	0.000102545	6.95953e-07	3.89519e-05	3.47132e-05	0.000104766	8.6432e-05	6.41439e-05	7.98456e-06
PWY-6906: chitin derivatives degradation	2.89334e-05	1.38588e-05	7.35335e-06	1.67914e-06	9.07759e-06	7.44043e-06	6.9584e-06	0	2.75475e-05	4.76086e-05	2.23154e-06	0	0	0	0	0	0	3.05481e-06
PWY-6920: 6-gingerol analog biosynthesis (engineered)	0	0	0	0	0	3.61669e-07	0	0	0	0	0	0	0	0	0	0	2.83943e-06	4.88155e-07
PWY-6922: L-N&delta;-acetylornithine biosynthesis	6.15406e-05	1.83397e-05	3.18033e-05	2.18803e-05	9.681e-06	1.67834e-05	2.90985e-05	3.65787e-07	5.74171e-06	3.00266e-05	5.26749e-05	7.91734e-07	4.04971e-06	1.28904e-06	0	6.01791e-06	6.53187e-06	2.97288e-06
PWY-6936: seleno-amino acid biosynthesis (plants)	0.000293715	0.000260961	0.000221311	0.000240623	0.000240976	0.000270934	0.000283998	0.000344564	0.000403921	0.000379801	0.000386364	0.000404683	0.000420157	0.000457878	0.00031812	0.000265057	0.00037932	0.000139157
PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	4.616e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6961: L-ascorbate degradation II (bacterial, aerobic)	0.000232556	0.00015253	5.74708e-05	3.42387e-05	1.75515e-06	2.03789e-05	5.64712e-06	0.000222491	0.000253835	7.91954e-07	0.000196934	6.401e-07	1.28001e-05	7.35437e-06	0	5.10117e-05	3.69088e-05	4.97106e-06
PWY-6969: TCA cycle V (2-oxoglutarate synthase)	0.000228599	0.000202571	0.000118625	0.000129051	3.97331e-05	9.99414e-05	0.000129343	0.000231014	0.000222879	0.000200308	0.000225036	3.38219e-05	4.41692e-05	2.28429e-05	0	7.2862e-05	6.41806e-05	8.19112e-06
PWY-6992: 1,5-anhydrofructose degradation	4.11596e-05	2.82115e-05	3.56468e-06	6.13992e-06	0	2.09884e-06	0	3.05202e-05	4.93583e-05	3.24017e-05	5.52714e-05	0	0	4.59158e-07	1.72093e-06	2.78034e-06	5.1603e-06	0
PWY-7013: (S)-propane-1,2-diol degradation	0.000105764	2.67735e-05	0.000123119	0.000206514	2.87233e-05	3.25574e-05	0.000216782	7.53945e-07	9.06209e-07	8.39787e-05	0.000177347	0.000142525	0.000120875	0.000123554	0.000168846	7.34518e-05	0.000134164	6.2654e-06
PWY-702: L-methionine biosynthesis II	0.000246632	0.000180648	0.000115333	0.000143044	5.03157e-05	9.44417e-05	0.000123398	0.000231055	0.000258849	0.000350675	0.000322615	0.000216585	0.000186763	0.000140355	0.000186451	0.000151488	0.000251579	3.29277e-05
PWY-7039: phosphatidate metabolism, as a signaling molecule	4.96449e-05	4.17759e-06	6.24827e-06	4.17552e-06	0	7.68216e-07	0	8.91122e-05	8.58161e-05	0	0	0	0	0	0	3.34456e-07	4.38063e-07	0
PWY-7094: fatty acid salvage	3.05978e-05	2.96677e-05	4.17192e-05	9.90773e-05	0	2.30754e-05	1.26715e-05	5.50362e-05	5.25444e-05	7.50777e-05	4.83525e-05	0	3.90316e-06	1.42124e-06	0	2.68872e-05	1.25215e-05	0
