# Feature	Level means (|ed)	P-value	Q-value
GLYCOCAT-PWY: glycogen degradation I (bacterial)	Stool:2.998e-06|Tongue_dorsum:1.072e-08|Buccal_mucosa:0|Supragingival_plaque:2.216e-08|Posterior_fornix:4.731e-07|Anterior_nares:0	4.421e-21	7.049e-21
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	Stool:3.745e-06|Tongue_dorsum:1.339e-08|Buccal_mucosa:0|Supragingival_plaque:2.769e-08|Posterior_fornix:6.12e-07|Anterior_nares:0	4.421e-21	7.049e-21
FUCCAT-PWY: fucose degradation	Stool:2.612e-06|Tongue_dorsum:1.733e-06|Buccal_mucosa:2.509e-05|Supragingival_plaque:3.992e-06|Posterior_fornix:0|Anterior_nares:0	8.493e-21	1.348e-20
PWY1G-0: mycothiol biosynthesis	Stool:0|Tongue_dorsum:4.726e-08|Buccal_mucosa:2.72e-07|Supragingival_plaque:3.813e-06|Posterior_fornix:0|Anterior_nares:0	9.918e-21	1.567e-20
COLANSYN-PWY: colanic acid building blocks biosynthesis	Stool:6.292e-06|Tongue_dorsum:1.142e-08|Buccal_mucosa:0|Supragingival_plaque:5.067e-08|Posterior_fornix:9.605e-07|Anterior_nares:0	3.013e-20	4.738e-20
REDCITCYC: TCA cycle VIII (helicobacter)	Stool:1.334e-06|Tongue_dorsum:0|Buccal_mucosa:1.344e-07|Supragingival_plaque:5.491e-09|Posterior_fornix:0|Anterior_nares:0	3.5e-20	5.479e-20
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	Stool:0|Tongue_dorsum:2.48e-07|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:3.628e-05	4.414e-20	6.88e-20
ENTBACSYN-PWY: enterobactin biosynthesis	Stool:3.755e-06|Tongue_dorsum:0|Buccal_mucosa:5.2e-08|Supragingival_plaque:3.122e-07|Posterior_fornix:0|Anterior_nares:2.068e-06	6.057e-19	9.398e-19
AST-PWY: L-arginine degradation II (AST pathway)	Stool:5.339e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	6.744e-19	1.032e-18
PWY-5838: superpathway of menaquinol-8 biosynthesis I	Stool:5.321e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	6.744e-19	1.032e-18
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis	Stool:3.612e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	6.744e-19	1.032e-18
P124-PWY: Bifidobacterium shunt	Stool:2.808e-06|Tongue_dorsum:5.974e-06|Buccal_mucosa:8.214e-06|Supragingival_plaque:1.811e-05|Posterior_fornix:0|Anterior_nares:0	1.486e-18	2.264e-18
PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	Stool:2.477e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:6.35e-07|Posterior_fornix:0|Anterior_nares:0	2.057e-18	3.067e-18
PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I	Stool:2.477e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:6.35e-07|Posterior_fornix:0|Anterior_nares:0	2.057e-18	3.067e-18
PWY-5897: superpathway of menaquinol-11 biosynthesis	Stool:7.142e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.726e-06|Posterior_fornix:0|Anterior_nares:0	2.057e-18	3.067e-18
PWY-5898: superpathway of menaquinol-12 biosynthesis	Stool:7.142e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.726e-06|Posterior_fornix:0|Anterior_nares:0	2.057e-18	3.067e-18
PWY-5899: superpathway of menaquinol-13 biosynthesis	Stool:7.142e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.726e-06|Posterior_fornix:0|Anterior_nares:0	2.057e-18	3.067e-18
PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III	Stool:1.449e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	4.758e-18	7.066e-18
GALACTARDEG-PWY: D-galactarate degradation I	Stool:5.01e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	3.313e-17	4.837e-17
GLUCARDEG-PWY: D-glucarate degradation I	Stool:6.479e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	3.313e-17	4.837e-17
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	Stool:5.01e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	3.313e-17	4.837e-17
PWY0-1533: methylphosphonate degradation I	Stool:5.45e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	3.313e-17	4.837e-17
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	Stool:5.76e-07|Tongue_dorsum:3.932e-06|Buccal_mucosa:1.952e-06|Supragingival_plaque:7.846e-06|Posterior_fornix:0|Anterior_nares:2.511e-06	9.459e-17	1.375e-16
PWY-5863: superpathway of phylloquinol biosynthesis	Stool:1.718e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:9.071e-08|Posterior_fornix:0|Anterior_nares:0	4.599e-16	6.657e-16
PWY-5705: allantoin degradation to glyoxylate III	Stool:4.261e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.544e-15	2.225e-15
PWY0-1061: superpathway of L-alanine biosynthesis	Stool:3.788e-06|Tongue_dorsum:1.549e-07|Buccal_mucosa:1.409e-07|Supragingival_plaque:3.984e-06|Posterior_fornix:3.203e-07|Anterior_nares:5.607e-06	1.654e-15	2.375e-15
KETOGLUCONMET-PWY: ketogluconate metabolism	Stool:2.079e-06|Tongue_dorsum:4.545e-07|Buccal_mucosa:3.256e-07|Supragingival_plaque:2.169e-08|Posterior_fornix:0|Anterior_nares:5.09e-07	1.391e-14	1.988e-14
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	Stool:1.881e-05|Tongue_dorsum:9.139e-06|Buccal_mucosa:5.872e-06|Supragingival_plaque:6.439e-06|Posterior_fornix:8.033e-07|Anterior_nares:8.161e-05	1.834e-14	2.612e-14
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	Stool:5.411e-06|Tongue_dorsum:8.023e-08|Buccal_mucosa:3.726e-06|Supragingival_plaque:3.021e-07|Posterior_fornix:0|Anterior_nares:0	2.477e-14	3.498e-14
PWY-6612: superpathway of tetrahydrofolate biosynthesis	Stool:3.659e-06|Tongue_dorsum:5.391e-08|Buccal_mucosa:2.524e-06|Supragingival_plaque:2.057e-07|Posterior_fornix:0|Anterior_nares:0	2.477e-14	3.498e-14
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	Stool:2.017e-06|Tongue_dorsum:2.653e-08|Buccal_mucosa:2.247e-06|Supragingival_plaque:3.615e-08|Posterior_fornix:0|Anterior_nares:0	3.6e-14	5.063e-14
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	Stool:1.556e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	6.808e-14	9.536e-14
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	Stool:8.247e-06|Tongue_dorsum:8.173e-07|Buccal_mucosa:1.594e-05|Supragingival_plaque:1.007e-06|Posterior_fornix:9.394e-07|Anterior_nares:2.006e-06	4.448e-13	6.181e-13
PWY-6519: 8-amino-7-oxononanoate biosynthesis I	Stool:6.662e-06|Tongue_dorsum:6.535e-07|Buccal_mucosa:1.335e-05|Supragingival_plaque:8.05e-07|Posterior_fornix:7.468e-07|Anterior_nares:1.647e-06	4.448e-13	6.181e-13
PWY-6823: molybdenum cofactor biosynthesis	Stool:7.161e-07|Tongue_dorsum:0|Buccal_mucosa:1.868e-08|Supragingival_plaque:1.097e-08|Posterior_fornix:0|Anterior_nares:0	1.035e-12	1.433e-12
PWY-5840: superpathway of menaquinol-7 biosynthesis	Stool:4.838e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.565e-06|Posterior_fornix:0|Anterior_nares:0	1.133e-12	1.562e-12
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	Stool:3.149e-05|Tongue_dorsum:2.243e-05|Buccal_mucosa:1.39e-05|Supragingival_plaque:1.55e-05|Posterior_fornix:1.349e-06|Anterior_nares:1.894e-05	1.875e-12	2.575e-12
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	Stool:2.853e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	2.835e-12	3.878e-12
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	Stool:4.467e-06|Tongue_dorsum:7.252e-07|Buccal_mucosa:8.619e-07|Supragingival_plaque:3.919e-07|Posterior_fornix:0|Anterior_nares:0	4.315e-12	5.878e-12
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II	Stool:0|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.008e-06|Posterior_fornix:0|Anterior_nares:0	6.903e-12	9.33e-12
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	Stool:1.512e-05|Tongue_dorsum:1.896e-05|Buccal_mucosa:1.135e-05|Supragingival_plaque:1.313e-05|Posterior_fornix:7.482e-07|Anterior_nares:1.891e-05	6.89e-12	9.33e-12
GLYOXYLATE-BYPASS: glyoxylate cycle	Stool:2.498e-06|Tongue_dorsum:3.329e-07|Buccal_mucosa:4.915e-07|Supragingival_plaque:2.784e-07|Posterior_fornix:0|Anterior_nares:0	9.63e-12	1.296e-11
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	Stool:4.616e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.789e-11	2.39e-11
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	Stool:4.616e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.789e-11	2.39e-11
PWY-6549: L-glutamine biosynthesis III	Stool:1.544e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:2.149e-08|Posterior_fornix:0|Anterior_nares:0	2.742e-11	3.649e-11
PWY-5505: L-glutamate and L-glutamine biosynthesis	Stool:6.152e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:2.558e-08|Posterior_fornix:0|Anterior_nares:0	2.983e-11	3.955e-11
ORNDEG-PWY: superpathway of ornithine degradation	Stool:7.239e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:4.068e-06|Anterior_nares:0	9.82e-11	1.297e-10
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	Stool:7.747e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.112e-10	1.462e-10
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	Stool:3.082e-06|Tongue_dorsum:7.425e-07|Buccal_mucosa:1.037e-06|Supragingival_plaque:6.184e-07|Posterior_fornix:0|Anterior_nares:0	1.527e-10	2.001e-10
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	Stool:5.555e-06|Tongue_dorsum:1.472e-06|Buccal_mucosa:1.991e-06|Supragingival_plaque:1.206e-06|Posterior_fornix:0|Anterior_nares:0	1.649e-10	2.154e-10
P122-PWY: heterolactic fermentation	Stool:6.061e-09|Tongue_dorsum:1.541e-06|Buccal_mucosa:2.068e-05|Supragingival_plaque:2.415e-05|Posterior_fornix:0|Anterior_nares:0	4.551e-10	5.919e-10
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	Stool:5.442e-06|Tongue_dorsum:3.684e-07|Buccal_mucosa:1.132e-06|Supragingival_plaque:1.165e-06|Posterior_fornix:0|Anterior_nares:0	4.692e-10	6.08e-10
PWY-7446: sulfoglycolysis	Stool:3.4e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	6.793e-10	8.77e-10
PWY-7431: aromatic biogenic amine degradation (bacteria)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:2.96e-08|Supragingival_plaque:3.469e-07|Posterior_fornix:0|Anterior_nares:7.044e-07	1.067e-09	1.372e-09
PWY-6313: serotonin degradation	Stool:0|Tongue_dorsum:0|Buccal_mucosa:2.676e-08|Supragingival_plaque:2.238e-07|Posterior_fornix:0|Anterior_nares:7.069e-07	1.115e-09	1.428e-09
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation	Stool:2.771e-07|Tongue_dorsum:0|Buccal_mucosa:1.487e-07|Supragingival_plaque:2.919e-07|Posterior_fornix:5.5e-07|Anterior_nares:0	1.929e-08	2.463e-08
AEROBACTINSYN-PWY: aerobactin biosynthesis	Stool:3.061e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	2.407e-08	3.062e-08
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)	Stool:6.885e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:3.954e-08|Posterior_fornix:3.213e-07|Anterior_nares:0	2.687e-08	3.369e-08
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)	Stool:6.885e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:3.954e-08|Posterior_fornix:3.213e-07|Anterior_nares:0	2.687e-08	3.369e-08
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)	Stool:6.885e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:3.954e-08|Posterior_fornix:3.213e-07|Anterior_nares:0	2.687e-08	3.369e-08
PWY-6708: ubiquinol-8 biosynthesis (prokaryotic)	Stool:6.885e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:3.954e-08|Posterior_fornix:3.213e-07|Anterior_nares:0	2.687e-08	3.369e-08
PWY-7234: inosine-5'-phosphate biosynthesis III	Stool:1.733e-06|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:5.672e-07|Anterior_nares:0	3.51e-08	4.384e-08
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	Stool:2.071e-06|Tongue_dorsum:6.558e-06|Buccal_mucosa:6.1e-07|Supragingival_plaque:1.488e-06|Posterior_fornix:1.711e-07|Anterior_nares:4.978e-06	3.617e-08	4.502e-08
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	Stool:6.439e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	1.393e-07	1.727e-07
PWY-1861: formaldehyde assimilation II (RuMP Cycle)	Stool:4.197e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	7.889e-07	9.714e-07
PWY-5198: factor 420 biosynthesis	Stool:3.245e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	7.889e-07	9.714e-07
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic)	Stool:4.817e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:4.213e-08|Posterior_fornix:0|Anterior_nares:0	1.973e-06	2.421e-06
PWY-5994: palmitate biosynthesis I (animals and fungi)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:2.273e-08|Supragingival_plaque:1.117e-06|Posterior_fornix:0|Anterior_nares:0	5.856e-06	7.16e-06
PWY66-375: leukotriene biosynthesis	Stool:0|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:8.08e-08|Posterior_fornix:2.125e-06|Anterior_nares:0	1.144e-05	1.393e-05
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	Stool:3.642e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	2.353e-05	2.857e-05
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:1.135e-07|Supragingival_plaque:5.202e-07|Posterior_fornix:0|Anterior_nares:0	2.76e-05	3.328e-05
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:3.098e-07|Supragingival_plaque:1.142e-06|Posterior_fornix:0|Anterior_nares:0	2.76e-05	3.328e-05
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:2.384e-07|Supragingival_plaque:4.879e-07|Posterior_fornix:0|Anterior_nares:4.075e-07	2.965e-05	3.562e-05
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	Stool:9.955e-07|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	0.0001231	0.0001473
METHGLYUT-PWY: superpathway of methylglyoxal degradation	Stool:3.616e-07|Tongue_dorsum:1.134e-07|Buccal_mucosa:1.796e-08|Supragingival_plaque:1.521e-08|Posterior_fornix:0|Anterior_nares:0	0.0001591	0.0001898
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	Stool:2.58e-08|Tongue_dorsum:0|Buccal_mucosa:9.965e-07|Supragingival_plaque:1.975e-06|Posterior_fornix:0|Anterior_nares:0	0.0003584	0.0004262
PWY-5723: Rubisco shunt	Stool:0|Tongue_dorsum:1.988e-07|Buccal_mucosa:4.618e-07|Supragingival_plaque:2.142e-07|Posterior_fornix:0|Anterior_nares:0	0.0007613	0.0009021
PWY66-389: phytol degradation	Stool:0|Tongue_dorsum:0|Buccal_mucosa:1.189e-07|Supragingival_plaque:2.66e-07|Posterior_fornix:3.433e-06|Anterior_nares:0	0.0008159	0.0009635
PWY-7039: phosphatidate metabolism, as a signaling molecule	Stool:3.967e-08|Tongue_dorsum:0|Buccal_mucosa:1.444e-07|Supragingival_plaque:1.291e-07|Posterior_fornix:0|Anterior_nares:0	0.001346	0.001584
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II	Stool:0|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.704e-07|Posterior_fornix:1.381e-06|Anterior_nares:0	0.001768	0.002074
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	Stool:4.758e-08|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	0.002996	0.003502
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)	Stool:3.689e-07|Tongue_dorsum:2.251e-08|Buccal_mucosa:0|Supragingival_plaque:0|Posterior_fornix:0|Anterior_nares:0	0.003598	0.004191
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	Stool:2.442e-06|Tongue_dorsum:1.655e-06|Buccal_mucosa:2.755e-06|Supragingival_plaque:3.669e-06|Posterior_fornix:6.63e-07|Anterior_nares:5.293e-05	0.007914	0.009189
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	Stool:8.184e-09|Tongue_dorsum:0|Buccal_mucosa:8.991e-07|Supragingival_plaque:1.991e-07|Posterior_fornix:1.699e-06|Anterior_nares:2.854e-05	0.01086	0.01256
PWY-4722: creatinine degradation II	Stool:0|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:2.839e-08|Posterior_fornix:0|Anterior_nares:0	0.01728	0.01967
PWY-5870: ubiquinol-8 biosynthesis (eukaryotic)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.964e-08|Posterior_fornix:0|Anterior_nares:0	0.01728	0.01967
PWY-5871: ubiquinol-9 biosynthesis (eukaryotic)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.765e-08|Posterior_fornix:0|Anterior_nares:0	0.01728	0.01967
PWY-5873: ubiquinol-7 biosynthesis (eukaryotic)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.765e-08|Posterior_fornix:0|Anterior_nares:0	0.01728	0.01967
PWY3O-19: ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)	Stool:0|Tongue_dorsum:0|Buccal_mucosa:0|Supragingival_plaque:1.765e-08|Posterior_fornix:0|Anterior_nares:0	0.01728	0.01967
