Genus	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
Salinimicrobium	33	35	39	90	12	0	0	11	1	2	38	99	175	247	17	67	55
Owenweeksia	29	113	116	125	25	12	0	35	19	2	19	81	175	76	26	25	41
Peterkaempfera	54	22	20	92	7	5	1	6	77	9	2	169	120	74	176	30	54
Sulfuricaulis	23	28	29	159	13	157	11	8	10	6	8	71	156	116	26	40	57
Undibacterium	27	32	51	53	27	26	10	26	108	3	4	93	87	54	94	69	154
Xylophilus	38	66	148	76	17	5	12	10	151	11	4	70	88	74	72	30	45
Polyangium	19	26	33	155	17	9	7	4	11	10	9	84	207	105	71	37	111
Verminephrobacter	15	24	23	86	6	14	3	6	97	9	12	104	300	103	12	41	59
Tautonia	68	24	14	164	18	2	12	12	137	6	1	95	96	74	89	22	79
Leptothermofonsia	8	18	6	24	8	36	0	5	596	5	1	22	38	29	60	23	32
Frigoriglobus	10	41	27	44	13	1	1	8	144	3	2	60	135	191	29	44	157
Phnomibacter	86	133	73	130	33	5	0	24	15	0	27	45	41	104	66	34	94
Abyssalbus	2	141	157	121	26	12	1	28	17	9	26	53	54	63	45	96	58
Besnoitia	19	49	31	66	2	8	2	1	72	3	3	141	116	127	107	84	76
Alicycliphilus	27	60	44	163	13	9	10	7	114	12	5	46	123	54	37	46	134
Ignavigranum	19	31	19	18	3	152	1	7	288	1	17	26	22	27	178	25	70
Pichia	21	24	10	14	15	1	0	2	1	0	16	619	16	14	101	18	32
Botrimarina	137	85	49	68	41	1	1	5	76	3	7	93	126	79	27	36	66
Subtercola	22	24	15	88	2	1	1	4	211	14	5	56	175	141	43	37	61
Liberibacter	11	45	43	31	2	5	0	0	0	1	19	44	64	349	120	122	43
Piscirickettsia	79	72	26	80	22	10	1	31	80	7	7	79	44	35	119	167	39
Blastochloris	67	53	45	82	23	2	12	12	54	16	2	71	190	92	48	51	77
Niveibacterium	30	29	25	74	16	5	17	11	11	3	10	154	145	65	81	65	154
Phycicoccus	20	27	120	64	11	1	1	4	71	10	6	75	146	78	83	49	129
Urechidicola	2	91	114	131	10	178	0	3	0	0	11	56	73	20	54	109	43
Acidianus	25	91	41	47	76	21	0	9	8	1	33	170	74	58	178	34	28
Floricoccus	55	35	27	54	4	11	0	1	86	2	30	72	37	251	46	88	95
Bombilactobacillus	28	95	29	47	12	104	1	15	6	7	38	64	57	67	66	154	103
Caldilinea	40	31	33	73	7	8	24	5	8	1	11	98	210	112	122	39	71
Dermacoccus	16	18	78	67	7	4	8	6	243	17	6	43	174	97	20	32	57
Natranaerobius	38	20	19	23	2	10	1	4	107	1	4	50	59	190	43	251	69
Ammonifex	29	25	35	102	4	5	2	7	63	1	2	70	196	117	131	62	37
Melittangium	57	30	24	49	10	6	0	28	225	7	3	74	98	64	100	57	54
Penicillium	8	23	6	50	0	3	1	3	69	1	0	50	69	376	28	111	88
Zymomonas	10	25	50	140	3	113	0	4	23	3	8	73	110	136	80	45	63
Polystyrenella	1	26	8	38	14	5	0	21	33	0	12	6	430	59	57	154	18
Caldithrix	9	11	19	53	4	20	5	5	164	3	28	101	127	123	72	82	55
Roseivivax	33	20	27	90	12	13	2	16	116	4	3	73	152	83	71	28	138
Gulosibacter	53	33	11	69	5	11	1	10	97	23	1	172	138	75	77	39	62
Sediminibacillus	43	73	45	28	5	58	3	39	20	12	2	127	68	100	81	55	116
Pelolinea	26	26	19	86	10	14	2	3	305	1	10	65	135	60	34	38	40
Toutatisvirus	9	11	14	0	0	0	2	1	1	2	1	16	313	8	46	431	19
Aureibaculum	4	80	59	61	83	45	7	3	1	1	80	81	94	127	94	30	22
Candidatus_Neoehrlichia	4	44	4	8	0	0	0	8	2	0	18	86	602	20	0	72	4
Entomomonas	17	57	47	23	40	10	1	8	97	16	72	73	36	146	106	68	55
Pirellula	29	121	94	97	42	15	3	5	61	1	2	74	51	149	26	55	47
Pedococcus	152	67	54	114	80	6	11	15	102	3	3	25	103	44	49	19	24
Sinimarinibacterium	47	24	15	44	11	1	2	19	35	13	1	105	99	23	48	253	130
Thiomicrospira	13	30	19	26	11	12	1	26	264	0	5	89	63	120	143	33	15
Uruburuella	22	30	44	61	11	9	5	11	11	7	2	35	147	259	78	104	34
Chondromyces	9	74	29	65	4	7	22	9	292	1	2	44	120	87	30	21	52
Methylophaga	37	46	32	28	10	48	2	19	210	1	7	77	79	93	34	108	37
Methanobacterium	38	39	25	48	1	113	0	15	6	7	16	65	84	78	61	160	110
Aeribacillus	26	82	55	23	6	63	0	7	60	3	5	77	76	59	113	117	93
Rodentibacter	13	197	126	65	8	4	0	2	7	3	31	76	96	88	43	73	33
Syntrophomonas	42	27	20	86	9	11	2	13	52	1	17	93	200	60	77	88	67
Micavibrio	57	37	34	48	18	12	1	16	312	1	36	72	69	44	38	28	40
Pukyongia	45	94	177	146	28	5	1	38	18	0	5	73	63	102	25	7	35
Ereboglobus	83	42	19	92	41	6	3	11	6	1	4	84	207	60	49	33	118
Fuscovulum	17	27	20	71	9	0	5	4	59	10	5	97	249	99	68	44	75
Tsuneonella	14	41	31	71	5	1	11	4	16	3	1	75	182	233	48	51	72
Jiella	25	22	19	74	14	5	7	12	12	10	5	76	248	102	97	38	92
Dokdonia	16	49	69	68	59	6	0	13	80	2	50	70	36	132	73	25	109
Thermanaeromonas	37	78	52	38	5	58	0	14	38	1	12	90	37	105	164	58	70
Guyparkeria	13	38	18	122	3	3	2	1	18	2	4	98	239	98	120	23	53
Halosimplex	22	36	27	132	7	0	8	6	12	4	1	96	167	54	49	25	205
Rubinisphaera	68	66	27	60	31	6	1	7	0	0	3	19	38	331	19	98	74
Arcticibacterium	4	82	54	168	10	23	0	31	10	1	40	84	90	149	13	16	68
Sulfurimicrobium	28	44	57	106	13	0	17	13	8	15	13	117	171	60	101	21	59
Allosaccharopolyspora	128	132	44	104	59	102	1	16	5	3	2	54	96	26	23	13	34
Micrococcus	41	34	12	122	10	3	13	9	40	17	3	114	163	123	40	28	70
Azorhizobium	40	26	26	71	24	7	13	14	134	3	2	100	150	67	38	34	92
Couchioplanes	42	74	17	84	9	1	21	19	34	6	7	94	203	50	59	39	82
Parasphingopyxis	120	76	40	120	64	2	6	15	30	4	2	70	64	80	46	62	40
Acaryochloris	1	280	113	38	11	1	0	23	3	2	0	62	54	40	119	37	52
Plantactinospora	13	18	29	58	16	11	6	1	67	6	6	110	269	87	39	58	42
Yinghuangia	23	27	22	118	9	5	3	5	54	11	4	84	164	88	95	39	84
Mongoliitalea	10	49	97	157	12	9	0	8	39	1	4	187	52	39	40	7	123
Ewingella	5	17	87	59	12	26	27	11	340	7	3	61	83	27	17	17	34
Sulfuricella	194	160	30	167	136	0	1	13	2	6	3	18	35	33	5	5	20
Thermosediminibacter	34	17	36	79	9	7	4	11	81	4	3	120	170	70	59	71	53
Acetohalobium	48	109	22	27	8	21	0	9	61	3	51	73	67	161	35	64	66
Actinacidiphila	12	118	33	57	5	0	4	2	49	5	4	58	144	96	88	22	128
Pseudofrankia	52	43	15	78	21	5	3	10	136	7	5	60	186	89	31	44	38
Fluviicola	22	81	124	130	11	5	2	8	10	2	2	49	40	184	38	71	43
Natribaculum	145	110	26	144	52	2	1	12	5	4	1	54	97	66	28	14	61
Cohaesibacter	10	55	29	79	11	80	4	43	94	6	5	58	67	48	168	24	40
Methanoplanus	2	13	16	15	1	87	0	7	39	0	5	30	35	389	63	73	46
Sulfuritalea	75	122	53	98	51	1	14	17	52	24	18	47	105	84	10	17	31
Lonsdalea	17	28	26	63	9	24	34	28	99	11	4	119	101	74	85	35	60
Zhouia	18	35	32	228	13	7	0	9	3	0	12	114	107	74	44	52	66
Rhodomicrobium	32	24	40	83	18	0	2	2	3	6	0	104	230	113	66	37	52
Lawsonella	24	6	12	108	3	7	0	12	155	51	2	133	62	47	89	54	46
Candidatus_Absconditicoccus	2	4	2	4	6	12	0	2	86	4	8	40	58	208	250	92	32
Candidatus_Reidiella	18	20	196	38	2	30	0	6	12	6	0	102	198	50	20	44	68
Pseudazoarcus	23	29	17	49	18	1	5	0	15	6	3	71	333	102	62	13	63
Yimella	77	75	15	109	43	0	1	12	42	11	0	85	108	45	82	28	76
Muriicola	117	126	40	126	63	8	0	18	30	0	40	30	49	80	37	10	33
Paucibacter	51	70	16	63	42	11	4	12	13	5	1	107	147	28	83	40	114
Candidatus_Kuenenia	0	28	22	42	26	112	2	26	0	0	10	98	52	28	76	216	68
Methanosphaera	13	50	144	23	0	8	0	8	2	0	35	119	56	159	26	106	55
Frigoribacterium	41	71	14	88	20	5	5	17	25	4	3	51	186	92	92	25	64
Frischella	13	19	21	5	3	2	0	2	5	2	196	45	8	257	13	114	97
Marinitoga	22	103	28	54	1	82	0	2	5	1	29	117	56	24	71	168	39
Roseimicrobium	20	18	27	88	6	1	3	4	6	2	11	90	177	93	20	38	197
Pseudopuniceibacterium	163	17	46	114	90	2	5	8	12	2	1	63	106	42	87	18	23
Thiohalobacter	15	19	1	99	3	0	0	7	6	2	1	261	201	53	102	10	18
Desulfoglaeba	82	121	46	135	12	12	12	7	22	10	6	79	98	62	31	32	30
Imtechella	14	29	86	162	8	20	0	2	5	0	9	134	90	110	38	47	43
Dissulfurispira	32	13	16	22	9	2	0	2	0	0	14	96	39	278	26	127	119
Methanocella	4	30	10	146	16	1	3	2	35	10	1	130	196	32	113	11	54
Thioclava	33	33	38	52	10	0	1	10	190	4	0	50	160	47	40	28	98
Desulfohalobium	32	4	39	112	7	6	9	15	30	7	4	95	196	76	44	33	84
Candidatus_Nitrosacidococcus	6	44	37	28	30	186	0	38	10	1	40	68	36	70	110	17	71
Methylomicrobium	67	76	76	105	12	0	15	4	4	3	1	101	150	72	29	19	58
Purpureocillium	27	111	9	59	6	4	0	9	152	2	1	67	80	109	55	47	54
Actinoalloteichus	26	23	29	95	4	10	6	9	83	8	14	60	196	94	43	42	47
Scytonema	2	91	40	52	0	7	0	14	52	1	4	29	239	140	37	56	25
Candidatus_Arcticimaribacter	6	62	8	76	12	0	0	16	2	2	0	112	172	112	128	16	64
Micropruina	106	16	28	108	71	1	3	3	108	3	2	47	109	48	24	21	90
Phaeodactylum	6	100	4	29	3	6	4	6	43	1	2	72	123	97	71	85	136
Denitrovibrio	21	18	18	150	3	7	0	4	39	2	8	112	56	56	128	98	67
Isosphaera	11	19	15	140	2	1	0	4	3	0	1	38	132	226	38	60	97
Halothermothrix	36	35	24	19	7	51	1	20	27	3	29	45	54	191	124	30	90
Mucisphaera	35	43	32	78	18	0	1	3	91	0	0	94	164	76	50	24	77
Mucispirillum	22	95	7	37	3	1	0	2	5	0	8	99	22	122	111	207	44
Candidatus_Protochlamydia	10	10	16	24	32	170	0	26	12	4	22	266	44	42	80	18	8
Cognatishimia	25	20	27	110	9	13	2	4	3	0	0	76	179	104	65	89	57
Roseicitreum	8	17	9	15	0	5	1	8	449	2	0	18	165	25	23	21	17
Nibribacter	5	98	144	65	5	22	2	16	62	4	3	67	34	111	21	17	106
Occultella	22	21	21	61	8	4	3	4	152	8	2	118	86	41	67	36	128
Cohcovirus	0	0	1	2	676	2	13	17	0	2	2	0	21	18	0	26	0
Pseudorhizobium	41	17	70	140	12	4	3	10	32	2	3	98	167	31	49	68	32
Psychroserpens	2	87	18	150	9	6	0	5	2	0	103	89	75	147	31	27	27
Dictyoglomus	20	82	59	45	4	20	0	11	2	2	0	54	52	152	75	99	100
Ostreococcus	16	41	7	77	9	8	3	7	14	1	6	98	145	179	57	29	78
Ruficoccus	28	57	13	88	27	2	2	6	2	5	2	80	206	67	98	26	66
Micromonas	17	29	49	48	8	4	0	2	21	5	4	139	169	78	59	54	88
Candidatus_Deianiraea	24	24	6	34	16	0	0	50	86	2	68	48	28	66	78	190	52
Chroococcidiopsis	154	8	26	61	6	16	0	2	1	0	19	15	33	55	237	95	40
Tichowtungia	10	31	62	97	12	3	6	1	7	2	12	50	80	204	53	40	95
Candidatus_Pelagisphaera	0	10	38	40	10	6	0	4	46	2	0	92	106	62	194	92	62
Ferrovibrio	68	39	47	95	31	66	1	17	3	14	9	84	112	38	20	69	51
Rosistilla	33	65	13	152	6	1	0	6	31	9	3	107	81	62	82	54	58
Fontisphaera	11	178	6	44	10	11	6	6	5	1	2	54	142	84	55	91	55
Sporisorium	46	23	6	21	5	9	4	10	19	6	0	157	47	45	54	272	37
Eponavirus	8	1	1	3	0	0	0	0	0	3	0	0	732	4	0	5	2
Desulforapulum	19	32	32	85	12	12	3	17	23	7	5	111	105	89	61	55	89
Syntrophothermus	37	13	27	201	0	4	0	3	34	0	5	110	99	41	108	39	35
Akanthomyces	15	96	57	64	12	14	0	16	26	8	22	61	108	95	75	21	65
Halorhodospira	176	19	24	130	13	3	5	6	33	4	2	40	89	47	29	26	105
Haladaptatus	17	24	23	44	15	0	1	9	85	6	5	39	72	57	127	113	113
Youhaiella	12	35	31	61	11	1	2	2	8	2	6	89	220	66	79	38	87
Halalkalibacterium_(ex_Joshi_et_al._2022)	20	76	50	9	5	53	0	23	20	3	2	58	142	69	43	44	130
Ilumatobacter	187	19	7	135	2	0	2	4	29	0	0	59	135	52	61	21	34
Mycetohabitans	58	23	64	77	23	0	7	3	29	7	0	69	190	105	7	15	70
Salinicola	15	18	43	68	7	1	7	9	7	1	4	67	242	146	22	49	41
Stackebrandtia	123	24	8	33	5	6	5	7	30	7	8	55	110	210	16	40	60
Roseimaritima	37	39	11	66	20	4	7	10	12	2	2	64	58	89	137	35	151
Rhodopirellula	29	7	9	68	6	0	3	2	0	3	0	135	121	70	256	20	14
Amphritea	17	17	42	63	2	6	3	7	25	3	1	87	111	82	36	115	123
Gryllotalpicola	6	33	13	50	1	1	10	10	13	1	0	69	225	135	74	30	68
Raineyella	13	17	31	67	0	0	7	12	17	5	5	74	183	92	62	78	75
Aggregatimonas	3	67	96	51	41	5	0	12	50	0	5	78	98	101	46	34	50
Koinonema	1	12	2	13	4	1	0	7	0	3	3	23	33	489	11	119	15
Symmachiella	21	32	160	16	9	9	2	9	70	1	2	56	111	56	41	22	119
Ideonella	9	42	37	38	8	17	5	10	231	7	4	46	61	43	67	33	76
Acidobacterium	21	15	33	61	0	17	29	5	109	2	2	56	109	98	36	40	100
Methylovirgula	31	82	38	56	9	6	7	17	23	1	5	100	96	101	25	51	85
Syntrophus	61	83	18	126	65	74	4	19	13	4	3	56	83	26	34	18	46
Thermothelomyces	6	7	18	76	5	10	1	1	48	4	0	57	80	145	36	47	192
Advenella	35	29	67	71	23	8	10	16	48	10	10	56	150	77	52	29	41
Tatlockia	1	0	7	32	8	10	0	9	500	0	11	33	10	8	12	90	1
Jonesia	1	5	150	13	0	1	0	2	42	1	0	47	73	52	21	288	35
Stella	41	39	30	40	17	1	4	2	130	2	1	93	154	75	29	37	36
Formicincola	8	6	5	20	0	1	2	2	0	469	0	33	64	68	31	4	17
Castellaniella	65	76	88	121	42	7	12	8	66	0	1	54	51	44	48	16	30
Ehrlichia	14	107	26	51	9	25	0	0	86	0	18	62	115	37	25	110	44
Mergibacter	5	31	21	15	3	18	2	12	2	0	5	26	55	339	108	53	33
Nitratiruptor	20	19	22	27	3	24	1	6	73	5	0	119	37	53	187	61	71
Truepera	32	14	79	72	5	2	2	9	13	0	4	39	75	285	12	19	60
Halomarina	18	28	74	32	10	0	9	5	76	6	2	85	70	97	70	28	110
Mariniplasma	38	38	24	9	8	4	0	0	0	0	16	18	91	23	218	177	56
Neospora	17	33	84	30	10	1	1	4	67	1	4	71	80	114	41	56	106
Steroidobacter	13	201	20	25	9	11	0	16	0	4	7	33	116	38	42	75	110
Marinicauda	11	17	149	35	1	0	0	6	73	2	4	89	147	61	62	30	32
Silvimonas	6	121	101	18	16	61	19	16	8	2	11	34	42	118	42	58	46
Ketobacter	34	65	26	37	6	4	6	2	314	3	5	48	15	65	25	29	33
Belliella	6	31	4	27	6	4	0	1	41	0	3	111	125	264	18	61	14
Gemmobacter	28	22	15	67	11	4	7	5	26	4	7	117	140	120	20	50	73
Gallibacterium	17	49	34	109	66	3	3	13	66	1	6	40	76	74	61	81	16
Humibacter	13	9	31	29	7	2	6	4	21	0	9	108	98	85	58	79	155
Beutenbergia	9	11	12	137	3	4	2	3	18	9	0	104	137	84	101	23	56
Frigidibacter	21	33	25	43	3	0	4	3	45	123	2	83	130	66	58	38	33
Methylotuvimicrobium	8	11	42	66	7	4	1	6	5	4	3	106	73	203	30	92	49
Catenovulum	16	21	9	38	0	5	2	19	1	1	4	128	77	36	40	231	79
Cycloclasticus	142	3	1	11	170	0	0	0	3	0	315	4	9	0	41	4	4
Lichenicola	115	100	30	67	41	0	4	21	1	3	3	59	85	65	49	16	48
Pseudorhodoplanes	10	8	9	48	8	3	8	9	69	4	3	108	130	117	56	69	48
Thermobaculum	17	9	7	36	3	8	3	8	4	4	7	12	205	136	76	78	93
Kineococcus	138	3	25	42	8	0	8	8	41	5	4	72	78	86	50	21	116
Serpentinimonas	40	55	6	72	10	13	4	14	60	44	9	83	99	53	38	51	53
Thioflavicoccus	10	21	17	48	5	1	2	10	21	10	5	85	218	53	80	72	44
Paraliobacillus	18	70	8	41	12	7	0	2	3	4	26	51	122	55	130	110	42
Pseudactinotalea	129	131	42	55	62	0	5	2	73	5	1	48	58	13	32	8	35
Siminovitchia	7	13	16	25	8	11	11	13	216	0	9	46	76	68	110	30	40
Thalassococcus	79	154	40	50	66	0	2	16	6	7	4	40	43	83	71	17	21
Egibacter	13	20	19	65	4	0	4	6	47	4	4	68	226	81	67	34	36
Maioricimonas	16	29	19	48	10	1	7	8	116	7	6	71	117	105	54	21	60
Methylogaea	177	41	59	94	16	0	13	3	19	2	1	65	48	31	39	22	65
Prescottella	7	10	27	48	8	0	7	11	129	7	4	72	105	102	36	59	63
Amylolactobacillus	12	35	69	15	2	0	0	2	1	1	0	57	67	228	125	39	41
Kluyveromyces	25	19	80	38	6	5	0	3	8	0	7	97	71	50	69	130	86
Desulfolithobacter	38	9	48	55	12	20	6	5	65	23	10	50	128	58	61	43	62
Emticicia	1	76	60	169	5	7	0	2	3	0	10	38	74	131	2	30	85
Viridibacillus	13	58	45	30	5	39	0	4	2	3	49	82	61	42	104	72	84
Aquisalimonas	25	24	37	89	58	6	3	15	56	7	1	61	108	62	88	14	38
Inhella	28	22	60	39	8	2	10	12	17	21	3	80	196	56	58	18	61
Citricoccus	24	24	30	48	7	7	2	10	71	15	3	55	151	97	31	40	75
Nautilia	10	78	22	41	2	14	55	1	27	4	9	48	70	108	98	40	63
Neotabrizicola	12	12	13	51	16	0	8	3	134	1	5	100	77	47	89	20	101
Niveispirillum	23	6	31	109	6	8	4	16	24	7	6	66	128	54	82	43	76
Thiolapillus	29	42	39	58	39	2	4	7	119	4	3	52	38	96	28	30	99
Thiocystis	26	81	36	65	16	1	5	10	59	5	8	56	135	57	34	33	61
Methylibium	30	42	64	45	29	16	10	9	67	7	7	65	145	44	32	14	61
Oleiphilus	29	20	10	24	4	14	2	23	384	1	17	23	25	47	17	24	23
Pelagibacterium	21	31	44	114	5	2	5	6	40	3	6	83	152	88	14	26	47
Aquicella	7	36	19	14	17	21	2	12	311	10	9	31	57	62	40	20	18
Gephyromycinifex	10	13	21	38	3	0	1	6	102	0	7	77	136	125	59	29	58
Hydrogenovibrio	5	30	56	92	5	10	3	20	0	3	3	49	96	90	92	36	95
Acidisarcina	6	31	9	51	1	18	0	5	2	15	0	44	142	110	55	48	147
Fimbriimonas	31	36	26	82	7	4	1	2	8	0	12	103	123	64	76	45	61
Pseudogulbenkiania	22	14	10	66	3	0	67	8	44	0	2	53	147	79	77	53	36
Yarrowia	8	18	33	18	11	2	0	6	27	3	34	47	115	45	8	10	296
Pseudohongiella	75	51	172	47	27	2	9	6	16	2	1	34	62	41	24	41	69
Rhodoluna	48	15	15	32	8	78	10	15	15	6	6	85	78	90	65	47	66
Candidatus_Puniceispirillum	0	14	16	72	2	36	0	0	262	8	2	52	84	38	60	18	14
Sporofaciens	33	32	18	11	15	201	3	0	2	6	13	46	58	22	48	124	46
Crossiella	20	25	27	69	5	3	9	4	24	19	10	124	80	62	116	29	51
Gluconacetobacter	36	28	17	84	12	11	4	20	12	3	2	124	88	122	56	14	44
Carboxydothermus	27	32	13	38	7	15	1	37	73	0	7	95	82	40	112	41	56
Neoasaia	160	134	24	8	89	0	1	2	121	1	4	43	55	8	7	5	14
Paenalkalicoccus	14	54	8	28	3	105	0	12	19	0	0	106	80	46	99	50	52
Candidatus_Hydrogenosomobacter	0	2	2	6	4	0	0	0	0	0	0	38	10	526	2	32	52
Halobacterium	19	33	38	86	14	3	6	5	6	12	1	63	166	88	29	39	66
Herbiconiux	8	10	10	44	13	3	8	6	98	51	0	82	90	80	47	24	100
Paraconexibacter	18	15	6	64	13	3	4	14	2	6	0	59	148	133	40	38	111
Bacteriovorax	12	21	17	120	70	91	2	16	3	5	87	47	23	48	55	35	21
Botrytis	17	42	128	52	8	5	0	3	10	7	23	83	61	96	71	47	20
Glaciihabitans	13	34	9	26	0	1	1	1	193	3	1	73	129	53	42	23	71
Paludisphaera	51	42	16	85	17	4	3	9	34	5	6	47	135	88	38	44	49
Thiocapsa	67	18	37	37	36	6	0	8	59	4	8	42	52	148	46	64	41
Caenibius	14	23	19	86	0	5	2	3	16	4	5	46	198	68	65	65	53
Candidatus_Paraluminiphilus	22	88	60	10	6	136	0	30	16	4	10	46	92	46	34	40	32
Gallaecimonas	19	6	56	118	4	7	1	10	86	0	1	48	58	19	75	130	34
Dokdonella	39	32	4	52	8	0	4	10	15	2	0	50	209	99	30	53	61
Mameliella	22	33	31	56	6	1	5	7	1	5	1	117	181	73	54	15	60
Alloalcanivorax	75	39	42	64	21	49	10	12	20	6	7	57	80	68	35	40	42
Nitrobacter	12	18	19	29	6	8	15	24	197	90	9	30	64	72	17	28	29
Nitrosococcus	45	25	17	59	6	24	6	17	77	9	7	53	60	123	50	46	43
Euzebyella	4	121	119	118	14	9	0	5	2	0	5	90	47	51	20	22	39
Hartmannibacter	11	20	27	161	11	1	6	8	150	2	6	32	75	53	40	12	49
Isoalcanivorax	65	46	42	75	33	0	10	18	2	4	29	67	82	60	61	35	35
Marinimicrobium	12	10	83	32	6	76	5	8	62	3	8	39	65	36	105	24	90
Thermoactinomyces	15	31	18	64	21	6	1	13	24	3	17	53	67	175	80	37	39
Pelagovum	20	29	48	57	8	3	4	10	36	4	1	49	206	90	35	29	34
Croceibacter	15	26	3	27	20	1	2	10	114	0	46	1	52	45	93	79	127
Halobacteriovorax	24	87	33	30	5	4	3	10	2	4	3	84	92	122	51	37	69
Alkalilimnicola	14	14	24	28	6	0	81	6	43	1	1	105	146	46	54	32	58
Zobellella	27	25	30	83	14	0	4	16	16	4	2	95	107	92	42	33	68
Desulfobacula	23	12	30	104	6	6	4	16	23	5	19	57	53	95	53	45	105
Methanothermococcus	130	22	3	25	1	8	0	0	0	0	22	56	8	235	3	19	124
Vulgatibacter	27	87	17	63	5	2	0	5	4	2	2	52	207	93	24	39	27
Adhaeretor	8	39	6	121	4	3	0	1	16	4	0	25	29	349	36	6	8
Alloacidobacterium	32	41	49	50	25	12	3	10	0	5	0	76	148	64	51	35	53
Lederbergia	5	32	9	104	4	23	0	1	23	2	3	123	83	72	11	73	86
Changchengzhania	2	44	19	64	3	0	1	0	3	0	5	92	116	142	5	127	30
Neomicrococcus	0	16	14	13	2	4	0	0	8	2	0	15	45	334	24	97	79
Amphibacillus	13	58	17	58	0	34	1	9	1	0	19	44	67	87	117	72	54
Halorientalis	34	12	15	131	0	0	0	2	30	4	3	110	142	66	56	23	23
Marichromatium	21	14	6	45	7	0	5	4	164	3	4	73	136	75	28	26	39
Trichothermofontia	16	16	31	13	2	14	2	22	284	0	2	49	51	47	59	8	33
Teredinibacter	14	24	25	32	7	3	1	5	19	2	1	65	99	135	108	33	75
Halapricum	10	184	38	35	6	1	8	2	21	3	3	49	156	47	11	26	47
Alloactinosynnema	53	28	23	96	22	6	5	14	24	4	2	45	119	67	33	49	56
Tepiditoga	16	91	8	19	10	76	0	4	48	0	31	39	94	66	78	27	39
Taylorella	31	26	25	13	17	6	1	9	226	2	7	34	48	40	59	51	50
Geodermatophilus	12	16	5	50	11	0	5	3	62	3	0	89	139	67	86	48	48
Halioglobus	35	32	15	36	20	7	6	30	7	1	7	70	127	113	47	21	69
Candidatus_Fukatsuia	14	128	190	34	14	8	18	38	8	2	10	8	42	14	40	30	44
Immundisolibacter	48	19	104	66	9	5	1	8	19	15	7	52	132	53	50	18	36
Musicola	35	34	6	33	8	5	17	16	206	4	3	35	41	49	47	23	80
Kerstersia	17	27	69	50	20	7	11	5	19	4	8	211	63	19	21	26	63
Thiodictyon	21	37	41	66	7	8	4	9	65	6	2	41	128	41	46	32	86
Sulfurihydrogenibium	11	70	29	60	6	0	2	6	46	0	27	155	68	63	9	32	55
Blastopirellula	131	51	27	75	86	1	1	0	3	4	2	33	59	45	32	20	67
Curvibacter	18	16	23	24	7	10	6	7	150	3	4	102	111	70	26	29	31
Pochonia	7	41	60	73	14	10	2	0	14	2	59	43	47	123	47	22	73
Nordella	9	174	32	22	21	45	5	12	18	5	5	123	52	56	17	6	34
Eremothecium	30	39	24	34	15	16	2	6	56	0	6	62	85	86	56	64	53
Roseococcus	15	21	10	52	2	10	7	4	27	5	9	122	63	104	58	24	100
Microbacter	7	8	4	178	2	0	0	4	88	1	2	76	89	37	79	10	47
Alienimonas	35	28	17	49	16	0	2	7	97	1	7	29	137	101	25	37	43
Halalkalibacter	9	40	9	18	73	16	0	44	58	1	34	66	43	64	45	79	32
Xylella	9	17	30	33	14	6	5	32	134	10	3	46	68	74	84	11	55
Agarivorans	13	45	34	23	4	108	2	20	15	4	9	75	47	91	68	19	52
Acidocella	16	11	40	43	4	0	7	4	107	2	1	45	90	69	45	27	117
Persicimonas	34	82	76	83	41	4	0	4	4	0	2	35	51	77	27	39	69
Wenyingzhuangia	21	43	123	40	27	14	0	6	5	1	41	161	38	28	47	16	16
Oceanicola	17	17	18	104	6	2	1	9	33	0	0	97	117	65	37	56	47
Spiractinospora	14	21	21	51	5	3	5	0	203	5	0	47	88	44	26	16	77
Fervidobacterium	13	119	53	64	38	20	0	10	1	11	12	54	53	30	79	30	38
Pseudovibrio	65	50	48	66	28	12	0	8	19	2	0	89	71	58	30	28	51
Hippea	21	22	11	66	3	0	1	3	21	1	1	87	26	9	101	181	69
Psilocybe	12	49	103	59	8	7	1	2	22	2	19	43	37	36	90	47	84
Haloprofundus	30	22	11	56	3	0	3	0	117	3	2	60	128	92	33	23	37
Chloroflexus	11	12	36	48	1	8	5	16	26	3	2	73	85	59	100	57	77
Actinopolymorpha	14	36	67	80	86	2	1	3	21	2	54	28	87	50	18	21	47
Meiothermus	29	18	15	29	13	3	3	14	26	8	4	84	68	138	55	17	93
Tritonibacter	32	164	37	45	16	0	2	7	52	1	4	64	42	56	46	17	32
Acetomicrobium	62	29	29	101	26	3	1	10	6	2	0	19	39	144	9	45	91
Blohavirus	0	0	1	0	0	0	0	0	5	0	0	0	608	0	0	0	1
Malacoplasma	10	38	17	29	1	11	0	1	4	0	110	57	124	56	33	79	45
Thaumasiovibrio	15	17	9	49	8	29	0	7	1	5	4	207	32	112	59	11	50
Candidatus_Nanopelagicus	8	20	68	46	2	7	11	10	3	0	2	49	26	40	41	100	181
Kytococcus	10	16	79	54	14	8	2	9	21	16	5	40	87	89	47	26	91
Flexistipes	14	19	20	36	9	44	1	5	28	0	2	61	44	110	14	122	83
Lebriduvirus	0	5	0	0	0	0	2	1	0	0	0	11	1	0	16	576	0
Halobacteroides	11	108	12	14	11	7	0	0	8	2	49	67	81	52	65	74	49
Egicoccus	23	26	38	32	8	2	2	10	35	4	8	68	91	110	51	24	77
