Taxonomy	C1	C2	C3	C4	C5	C6	E1	E2	E3	E4	E5	E6	H1	H2	H3	H4	H5	H6
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Candidatus_Pelagibacterales|f__Pelagibacteraceae|g__Candidatus_Pelagibacter|s__Candidatus_Pelagibacter_ubique	11	1	14	3	13	0	0	0	0	5	1	1	13	6	1	8	5	30
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Candidatus_Pelagibacterales|g__Candidatus_Fonsibacter	0	0	11	6	2	0	0	0	0	6	2	3	1	19	12	3	9	3
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Candidatus_Pelagibacterales|g__Candidatus_Fonsibacter|s__Candidatus_Fonsibacter_ubiquis	0	0	11	6	2	0	0	0	0	6	2	3	1	19	12	3	9	3
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Asticcacaulis|s__Asticcacaulis_excentricus	28	14	12	28	71	12	12	6	10	89	0	3	192	148	148	71	57	108
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Asticcacaulis|s__Asticcacaulis_sp._AND118	45	8	25	22	55	20	1	6	6	4	5	16	107	81	118	65	18	58
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Asticcacaulis|s__Asticcacaulis_sp._SL142	19	15	11	67	39	5	10	4	0	0	2	3	176	71	110	157	75	89
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_albigilva	7	24	15	6	36	9	3	2	1	52	1	1	21	89	29	27	15	33
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_diminuta	0	2	2	2	26	1	5	1	2	260	1	1	16	55	21	9	33	7
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_goettingensis	6	20	8	6	49	6	3	3	8	9	3	5	64	64	37	44	45	78
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_mediterranea	13	1	4	26	45	9	1	1	8	11	7	0	49	25	15	67	10	10
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_naejangsanensis	13	18	11	5	33	10	0	3	3	6	1	0	31	15	49	25	53	13
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_nasdae	4	4	4	11	10	4	1	16	0	307	70	1	35	66	50	32	15	45
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_pondensis	11	12	19	2	27	2	3	1	2	31	4	1	86	53	23	26	23	12
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._'scallop'	0	0	9	1	1	0	0	0	0	0	0	0	32	6	9	19	2	0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._2003-09-23	1	16	7	4	5	0	0	1	1	9	7	0	9	9	4	1	1	10
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._AJA228-03	8	3	19	1	12	0	0	0	1	30	3	0	12	102	18	21	22	9
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._BT-123	43	158	36	31	88	90	10	0	18	255	2	1	2	3	16	21	7	0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._Bb-A	2	8	2	1	3	0	1	0	0	25	0	0	7	3	29	1	1	3
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._CS1	48	25	4	0	5	1	0	0	5	1	73	0	29	11	10	21	4	24
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._DS20	0	4	5	16	8	0	3	0	0	1	0	5	4	8	5	1	3	7
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._GW460-12-10-14-LB2	0	0	2	2	2	4	0	0	0	0	0	0	0	2	6	0	4	0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._LM2	99	226	247	46	170	141	0	2	31	115	2	0	41	60	41	110	27	31
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._M20	10	29	25	40	33	9	0	1	2	2	3	3	35	64	17	12	22	104
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._MF30-B	14	11	8	1	15	5	0	3	0	3	1	1	72	40	13	53	35	14
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._NIBR10	96	168	40	42	183	99	0	2	15	39	3	5	13	20	31	33	16	34
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._NIBR11	13	3	28	7	21	0	0	0	5	28	2	0	53	57	23	11	9	18
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._PAMC22021	1	20	3	7	18	0	1	0	0	29	2	4	14	74	8	10	12	42
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._SGAir0440	5	11	9	0	3	4	0	1	4	2	3	0	31	27	1	40	13	15
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_sp._SL130	0	2	3	1	3	0	1	3	2	3	1	0	19	6	3	170	3	10
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_subvibrioides	24	16	29	39	55	11	0	2	2	27	2	3	33	96	41	9	9	60
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_vancanneytii	4	0	3	0	6	0	0	0	1	2	1	10	53	8	1	0	3	4
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_vesicularis	4	3	14	13	7	4	4	4	2	14	1	0	49	112	23	7	7	15
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas|s__Brevundimonas_vitisensis	23	40	11	18	28	10	0	2	1	37	4	0	19	31	43	12	14	16
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_flavus	99	244	267	72	169	146	6	1	19	115	4	6	32	69	68	85	30	19
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_henricii	18	57	18	10	26	9	8	0	2	3	6	1	60	46	44	71	20	57
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_mirabilis	24	11	20	23	82	2	0	3	2	96	4	0	79	184	66	71	28	49
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_rhizosphaerae	43	7	26	30	56	1	5	6	0	175	5	7	75	87	359	71	132	144
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_segnis	88	136	53	48	177	20	32	3	41	267	4	5	116	153	105	123	46	90
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_soli	28	13	16	13	45	3	0	1	2	60	0	4	28	151	42	14	8	25
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp._FWC26	68	216	82	73	400	5	527	4	113	126	0	41	24	48	53	4	20	21
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp._NIBR1757	8	48	8	21	25	1	1	3	4	17	4	8	62	94	86	17	23	51
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp._NIBR2454	13	5	29	22	95	4	7	12	2	5	5	3	73	28	58	15	10	62
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_sp._S6	12	23	21	24	105	10	7	16	7	138	9	1	37	143	52	50	31	36
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_vibrioides	57	42	54	21	98	6	31	2	25	47	1	3	70	198	138	75	49	102
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium|s__Phenylobacterium_parvum	5	1	8	16	21	5	12	0	0	6	1	1	45	38	41	22	6	99
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium|s__Phenylobacterium_sp._LH3H17	83	3	13	18	72	5	7	1	2	14	2	1	99	115	97	70	28	31
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium|s__Phenylobacterium_sp._NIBR_498073	22	24	8	17	85	2	2	7	0	220	0	1	42	76	29	14	21	34
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Phenylobacterium|s__Phenylobacterium_zucineum	23	17	11	22	90	9	4	5	5	0	7	7	57	76	31	22	27	58
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Terricaulis|s__Terricaulis_silvestris	19	9	13	3	25	0	28	3	0	91	3	0	18	80	49	1	5	17
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Luteithermobacter|s__Luteithermobacter_gelatinilyticus	3	3	45	139	24	4	0	0	2	6	0	0	67	33	12	14	24	14
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Paremcibacter|s__Paremcibacter_congregatus	3	8	9	9	16	7	3	0	0	0	5	1	14	18	27	3	9	34
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Pseudemcibacter|s__Pseudemcibacter_aquimaris	23	3	6	19	6	0	1	0	6	15	2	40	8	16	20	12	18	7
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae|g__Candidatus_Nucleicultrix	2	0	2	6	10	0	2	0	1	21	0	0	19	23	23	1	16	4
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae|g__Candidatus_Nucleicultrix|s__Candidatus_Nucleicultrix_amoebiphila	2	0	2	6	10	0	2	0	1	21	0	0	19	23	23	1	16	4
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae	0	0	7	1	46	6	1	0	0	1	0	2	2	2	20	14	3	21
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Paracaedibacter	0	0	7	1	46	6	1	0	0	1	0	2	2	2	20	14	3	21
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Paracaedibacter|s__Candidatus_Paracaedibacter_acanthamoebae	0	0	7	1	46	6	1	0	0	1	0	2	2	2	20	14	3	21
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Cytomitobacter	5	3	9	0	3	0	0	0	6	1	0	0	65	13	4	62	37	34
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Cytomitobacter|s__Candidatus_Cytomitobacter_indipagum	5	3	5	0	3	0	0	0	6	1	0	0	63	3	4	12	37	31
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Cytomitobacter|s__Candidatus_Cytomitobacter_primus	0	0	4	0	0	0	0	0	0	0	0	0	2	10	0	50	0	3
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Gromoviella	0	3	1	5	0	0	31	0	3	0	0	7	23	5	1	2	7	12
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Gromoviella|s__Candidatus_Gromoviella_agglomerans	0	3	1	5	0	0	31	0	3	0	0	7	23	5	1	2	7	12
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Hydrogenosomobacter	0	0	1	1	3	2	0	0	0	0	0	0	19	5	263	1	16	26
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Hydrogenosomobacter|s__Candidatus_Hydrogenosomobacter_endosymbioticus	0	0	1	1	3	2	0	0	0	0	0	0	19	5	263	1	16	26
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Nesciobacter	14	7	2	2	4	0	127	0	1	1	0	3	3	13	10	71	2	5
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Nesciobacter|s__Candidatus_Nesciobacter_abundans	14	7	2	2	4	0	127	0	1	1	0	3	3	13	10	71	2	5
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|s__endosymbiont_of_Acanthamoeba_sp._UWC8	1	6	11	7	25	4	1	0	1	0	1	4	9	5	9	0	0	5
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Amorphaceae|g__Acuticoccus|s__Acuticoccus_sp._I52.16.1	21	20	19	26	89	12	1	6	5	3	3	1	82	168	358	45	29	128
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aurantimonas|s__Aurantimonas_sp._HBX-1	12	13	19	7	19	4	1	22	2	85	6	1	30	31	13	11	16	30
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aureimonas|s__Aureimonas_altamirensis	37	45	47	28	51	21	0	1	9	165	1	2	87	74	41	28	29	33
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aureimonas|s__Aureimonas_mangrovi	85	88	140	49	95	80	2	4	11	118	6	2	58	77	64	41	33	100
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aureimonas|s__Aureimonas_populi	15	5	5	6	53	6	5	1	2	70	5	0	22	39	37	18	10	30
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aureimonas|s__Aureimonas_sp._AU20	11	19	9	24	43	10	0	5	6	3	11	3	79	126	218	35	36	78
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aureimonas|s__Aureimonas_sp._OT7	9	163	11	7	53	4	0	3	14	8	5	2	83	60	17	26	42	19
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Aureimonas|s__Aureimonas_sp._SA4125	10	11	3	9	28	7	4	3	6	29	5	5	32	43	40	44	22	48
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Jiella|s__Jiella_sp._HL-NP1	26	25	22	19	74	14	5	7	12	12	10	5	76	248	102	97	38	92
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Martelella|s__Martelella_endophytica	23	203	18	12	69	19	8	7	9	8	15	4	122	105	44	31	36	47
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Martelella|s__Martelella_lutilitoris	21	5	3	12	20	3	0	1	11	2	2	3	19	34	40	16	6	25
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Martelella|s__Martelella_mediterranea	18	11	51	11	28	7	6	0	12	6	3	10	47	68	38	53	44	21
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Aurantimonadaceae|g__Martelella|s__Martelella_sp._AD-3	39	9	17	16	39	1	2	1	10	0	2	6	34	60	104	31	28	82
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_alsatica	7	3	7	0	0	0	0	0	6	0	0	5	6	16	9	2	0	11
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_ancashensis	1	0	2	7	2	1	1	0	0	1	0	0	10	6	10	2	10	6
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_apihabitans	38	11	11	7	33	8	58	0	11	267	5	8	145	93	34	153	40	30
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_australis	9	3	16	0	1	0	0	0	1	0	0	0	3	7	14	8	1	8
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_bacilliformis	5	5	20	2	5	1	5	1	0	1	0	4	0	9	112	15	23	54
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_birtlesii	5	2	0	1	8	0	5	0	0	1	0	5	0	4	9	0	10	11
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_bovis	6	2	2	2	1	0	1	7	0	78	0	0	15	19	44	3	4	7
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_choladocola	14	0	40	10	38	1	2	1	14	0	0	0	33	26	27	56	25	14
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_clarridgeiae	17	14	0	3	3	0	2	2	2	1	0	0	11	2	38	26	16	18
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_elizabethae	23	0	11	2	4	16	0	0	1	0	3	0	6	4	0	0	12	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_grahamii	3	1	5	1	1	2	0	0	2	0	0	0	14	13	31	1	1	3
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_harrusi	0	1	4	4	7	0	15	2	16	2	13	7	39	4	2	0	4	6
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_henselae	3	0	22	0	8	4	0	0	0	0	0	0	1	44	4	2	2	7
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_kosoyi	4	0	1	2	2	0	0	0	0	1	0	12	0	0	4	34	1	6
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_krasnovii	10	0	21	47	32	0	2	1	3	0	2	1	9	15	14	7	6	5
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_machadoae	3	2	1	1	0	0	0	0	1	0	0	0	2	6	7	37	12	30
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_quintana	0	5	3	0	6	1	20	0	0	5	0	0	39	4	3	21	5	96
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_schoenbuchensis	26	7	5	2	12	0	4	0	0	0	0	0	16	23	21	151	42	9
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_sp._1-1C	0	0	0	0	1	0	2	0	0	282	0	0	4	0	8	8	1	1
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_sp._HY038	0	0	3	2	2	0	0	0	0	0	0	0	24	0	0	0	2	0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_sp._HY406	0	0	0	2	6	0	43	0	2	1	0	3	1	19	9	8	17	29
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_sp._HY761	4	3	4	0	3	0	0	0	3	0	0	0	3	1	4	15	4	7
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_sp._WD16.2	1	14	3	2	17	5	1	1	3	0	2	0	6	8	10	6	2	3
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_taylorii	2	0	1	0	6	0	0	0	1	0	0	6	6	4	6	27	10	25
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_tribocorum	0	1	19	8	4	0	31	0	0	0	0	0	14	2	18	10	30	17
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_vinsonii	8	4	13	2	2	1	26	1	1	1217	3	0	3	18	38	7	3	3
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae|g__Beijerinckia|s__Beijerinckia_indica	24	9	11	22	26	0	1	0	3	45	0	0	17	54	265	7	78	69
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae|g__Methylocapsa|s__Methylocapsa_sp._D3K7	78	4	12	7	61	4	1	7	1	56	0	0	44	31	26	28	6	19
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae|g__Methylocella|s__Methylocella_silvestris	46	68	103	14	61	45	1	1	6	7	3	6	29	126	58	15	77	35
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae|g__Methylocella|s__Methylocella_tundrae	70	15	5	40	60	0	1	2	5	10	3	0	85	140	51	79	30	50
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae|g__Methylovirgula|s__Methylovirgula_ligni	6	15	67	17	32	3	0	7	3	15	1	1	60	49	43	22	13	40
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae|g__Methylovirgula|s__Methylovirgula_sp._HY1	32	16	15	21	24	6	6	0	14	8	0	4	40	47	58	3	38	45
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Blastochloridaceae|g__Blastochloris|s__Blastochloris_tepida	31	24	16	20	39	12	1	4	7	49	2	0	38	125	51	16	26	53
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Blastochloridaceae|g__Blastochloris|s__Blastochloris_viridis	24	43	37	25	43	11	1	8	5	5	14	2	33	65	41	32	25	24
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp._ANAM02	14	25	5	14	52	6	11	0	7	149	1	2	25	73	79	33	61	45
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp._AS-1	27	32	38	14	64	21	3	6	8	46	18	11	64	147	100	73	24	47
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp._F3-2	38	67	17	29	56	13	10	14	8	50	8	4	50	84	71	30	60	54
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp._NBC_00436	0	0	2	0	0	0	0	0	0	1	0	0	0	11	1	0	0	0
k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Boseaceae|g__Bosea|s__Bosea_sp._NBC_00550	26	14	12	12	99	6	7	4	8	5	3	2	62	72	67	39	16	64
