Species	C3	C4	C5	C6	N1	N2	N3	N4	N5	N6
Ilyobacter polytropus	0	0	0	0	0	0	0	1	0	0
Inhella inkyongensis	0	0	0	0	0	1	0	0	0	0
Ipomoea triloba	0	0	0	0	0	1	0	0	0	0
Isoptericola dokdonensis	0	0	0	0	0	1	0	0	0	0
Janibacter limosus	0	0	0	0	0	0	0	0	1	0
Janthinobacterium sp. B9-8	0	0	0	0	0	0	0	0	1	0
Janthinobacterium sp. Marseille	0	0	0	0	0	0	1	0	0	0
Jatrophihabitans sp. GAS493	0	0	0	0	0	0	0	0	0	1
Jeotgalibaca ciconiae	0	0	0	0	0	0	1	0	0	0
Jeotgalibaca dankookensis	0	0	0	0	1	0	0	0	0	0
Jeotgalicoccus saudimassiliensis	0	0	1	0	0	0	0	0	0	0
Kaistella daneshvariae	0	0	0	0	0	0	0	0	0	1
Kangiella geojedonensis	0	0	0	0	0	0	0	0	1	0
Kingella kingae	0	0	0	1	0	0	0	0	0	0
Kinneretia sp. DAIF2	1	0	0	0	0	0	0	0	0	0
Kocuria rosea	0	0	0	0	0	0	0	1	0	0
Kushneria marisflavi	0	0	0	0	0	0	0	0	1	0
Lachnospira eligens	0	0	0	0	0	0	1	0	0	0
Lactobacillus animalis	0	0	0	0	0	0	1	0	0	0
Lactobacillus casei	1	0	0	0	0	0	0	0	0	0
Lactobacillus delbrueckii	0	0	0	0	0	0	0	0	1	0
Lactobacillus gastricus	0	0	0	0	0	0	0	0	0	1
Lactobacillus jensenii	0	0	1	0	0	0	0	0	0	0
Lactobacillus kullabergensis	0	0	0	0	0	0	0	0	0	1
Lactobacillus murinus	0	0	0	0	0	0	0	0	1	0
Lactobacillus pentosus	0	0	0	0	0	0	0	1	0	0
Lactobacillus rhamnosus	0	0	0	0	1	0	0	0	0	0
Lactobacillus rossiae	0	0	0	0	1	0	0	0	0	0
Lactobacillus sp. 3B(2020)	0	0	0	0	0	0	0	0	0	1
Lactobacillus sp. JM1	0	0	0	1	0	0	0	0	0	0
Lactobacillus sp. NFFJ11	1	0	0	0	0	0	0	0	0	0
Lactococcus piscium	0	0	0	0	0	0	0	1	0	0
Lactococcus raffinolactis	0	0	0	0	0	0	1	0	0	0
Leclercia sp. J807	0	0	0	0	0	0	0	0	0	1
Legionella geestiana	0	0	0	0	0	1	0	0	0	0
Legionella lansingensis	0	0	0	0	0	0	1	0	0	0
Leifsonia sp. 21MFCrub1.1	0	0	0	0	0	1	0	0	0	0
Lelliottia amnigena	0	0	1	0	0	0	0	0	0	0
Leptospira tipperaryensis	0	0	0	1	0	0	0	0	0	0
Leucobacter sp. HDW9B	0	0	0	0	0	0	0	0	0	1
Leuconostoc gelidum	1	0	0	0	0	0	0	0	0	0
Leuconostoc mesenteroides	1	0	0	0	0	0	0	0	0	0
Lichenihabitans psoromatis	0	0	0	0	0	0	0	1	0	0
Ligilactobacillus salivarius	0	0	0	0	0	0	1	0	0	0
Limnobaculum parvum	0	0	0	0	0	0	0	0	0	1
Lysinibacillus sp. 2017	0	0	0	0	0	0	0	1	0	0
Mannheimia sp. BNO311	0	0	0	0	0	0	0	1	0	0
Maribius sp. THAF1	0	0	0	1	0	0	0	0	0	0
Marinobacter sp. Arc7-DN-1	0	0	0	0	0	0	0	0	0	1
Marinobacterium aestuarii	0	0	0	0	0	0	0	0	0	1
Marinomonas posidonica	0	1	0	0	0	0	0	0	0	0
Massilia sp. NR 4-1	0	0	0	0	0	1	0	0	0	0
Massilia violaceinigra	0	0	0	0	0	0	0	1	0	0
Megamonas funiformis	0	0	0	0	1	0	0	0	0	0
Melaminivora sp. SC2-9	0	0	0	0	1	0	0	0	0	0
Melioribacter roseus	0	0	1	0	0	0	0	0	0	0
Melissococcus plutonius	0	0	0	1	0	0	0	0	0	0
Mesoplasma chauliocola	0	0	0	0	0	0	0	0	0	1
Methanobrevibacter sp. AbM4	0	1	0	0	0	0	0	0	0	0
Methanofervidicoccus sp. A16	0	0	0	0	0	0	0	0	0	1
Methylobacterium currus	0	0	0	0	0	0	1	0	0	0
Methylobacterium sp. 17Sr1-43	1	0	0	0	0	0	0	0	0	0
Methylomonas denitrificans	0	0	1	0	0	0	0	0	0	0
Methylophilus sp. TWE2	0	0	0	0	0	1	0	0	0	0
Methylovulum psychrotolerans	0	0	0	0	0	0	0	1	0	0
Microbacterium sediminis	0	0	0	0	1	0	0	0	0	0
Microbacterium sp. CBA3102	0	0	0	1	0	0	0	0	0	0
Microbulbifer sp. SH-1	0	0	0	0	0	0	0	0	0	1
Micrococcus sp. KBS0714	1	0	0	0	0	0	0	0	0	0
Micromonospora carbonacea	1	0	0	0	0	0	0	0	0	0
Micromonospora purpureochromogenes	0	0	0	0	0	0	0	0	0	1
Micromonospora siamensis	0	0	0	0	0	0	0	0	0	1
Microterricola viridarii	0	0	0	0	0	0	0	0	1	0
Mixta calida	0	0	0	0	0	0	0	1	0	0
Monoglobus pectinilyticus	0	1	0	0	0	0	0	0	0	0
Moraxella cuniculi	0	0	0	0	0	0	0	1	0	0
Morganella morganii	0	0	1	0	0	0	0	0	0	0
Mucilaginibacter sp. HYN0043	0	0	1	0	0	0	0	0	0	0
Mucilaginibacter sp. PAMC 26640	0	0	1	0	0	0	0	0	0	0
Muribaculum intestinale	0	0	0	1	0	0	0	0	0	0
Muribaculum sp. TLL-A4	0	0	0	0	1	0	0	0	0	0
Muriicola sp. MMS17-SY002	0	0	0	0	0	1	0	0	0	0
Mycetocola sp. 449	0	0	0	0	1	0	0	0	0	0
Mycobacterium seoulense	0	0	0	0	0	0	0	0	0	1
Mycobacterium sp. PYR15	0	0	0	0	0	0	0	0	1	0
Mycolicibacterium aichiense	0	0	0	0	1	0	0	0	0	0
Mycolicibacterium celeriflavum	0	0	0	0	0	0	0	0	0	1
Mycolicibacterium goodii	0	0	0	0	0	0	0	0	0	1
Mycolicibacterium sarraceniae	0	0	0	0	0	0	0	0	1	0
Mycoplasma bovirhinis	0	0	0	0	0	0	1	0	0	0
Mycoplasma canadense	0	0	0	0	0	0	0	0	1	0
Mycoplasma penetrans	0	1	0	0	0	0	0	0	0	0
Myroides odoratus	0	0	0	0	0	0	0	0	1	0
Nakamurella panacisegetis	0	0	0	0	0	0	0	0	0	1
Nautilia sp. PV-1	0	0	0	0	0	0	0	1	0	0
Neorhizobium galegae	0	0	0	0	1	0	0	0	0	0
Nitrosococcus watsonii	0	0	1	0	0	0	0	0	0	0
Nitrospirillum amazonense	1	0	0	0	0	0	0	0	0	0
Nocardioides anomalus	1	0	0	0	0	0	0	0	0	0
Nocardioides sp. JQ2195	0	0	0	0	0	0	0	0	1	0
Nonlabens dokdonensis	0	0	0	0	1	0	0	0	0	0
Nonlabens sp. MB-3u-79	0	0	0	1	0	0	0	0	0	0
Novosphingobium aromaticivorans	0	1	0	0	0	0	0	0	0	0
Novosphingobium sp. ABRDHK2	0	0	0	0	0	1	0	0	0	0
Novosphingobium sp. P6W	1	0	0	0	0	0	0	0	0	0
Obesumbacterium proteus	0	0	1	0	0	0	0	0	0	0
Oceanimonas sp. GK1	0	0	0	0	0	1	0	0	0	0
Oceanispirochaeta crateris	0	0	1	0	0	0	0	0	0	0
Oceanobacillus iheyensis	0	0	0	0	0	0	0	1	0	0
Ochrobactrum quorumnocens	0	0	0	0	0	1	0	0	0	0
Owenweeksia hongkongensis	0	0	1	0	0	0	0	0	0	0
Paenibacillus antarcticus	0	0	0	0	0	0	1	0	0	0
Paenibacillus polymyxa	0	0	0	0	0	1	0	0	0	0
Paenibacillus psychroresistens	0	0	0	1	0	0	0	0	0	0
Paenibacillus sp. FSL H7-0357	0	0	1	0	0	0	0	0	0	0
Paenibacillus sp. FSL P4-0081	0	0	0	0	1	0	0	0	0	0
Paenibacillus stellifer	0	0	0	0	0	0	1	0	0	0
Paenibacillus swuensis	0	0	0	1	0	0	0	0	0	0
Paenibacillus xylanexedens	0	0	0	0	0	0	0	1	0	0
Paenisporosarcina antarctica	0	0	1	0	0	0	0	0	0	0
Panacibacter ginsenosidivorans	0	0	0	0	0	0	0	0	1	0
Pandoraea apista	0	0	0	0	0	0	1	0	0	0
Pandoraea fibrosis	0	0	0	0	0	1	0	0	0	0
Pantoea sp. SO10	0	0	0	1	0	0	0	0	0	0
Pantoea stewartii	0	0	0	0	0	1	0	0	0	0
Paraburkholderia xenovorans	1	0	0	0	0	0	0	0	0	0
Paracoccus pantotrophus	0	0	0	0	1	0	0	0	0	0
Paracoccus sp. Arc7-R13	1	0	0	0	0	0	0	0	0	0
Parasphingopyxis algicola	0	1	0	0	0	0	0	0	0	0
Pectobacterium odoriferum	0	0	0	0	0	0	0	0	1	0
Pectobacterium polaris	0	0	0	0	0	0	0	1	0	0
Pediococcus acidilactici	0	0	0	0	0	0	1	0	0	0
Pedobacter sp. KBS0701	0	0	0	1	0	0	0	0	0	0
Pelodictyon phaeoclathratiforme	0	1	0	0	0	0	0	0	0	0
Peptoniphilus harei	1	0	0	0	0	0	0	0	0	0
Phenylobacterium zucineum	1	0	0	0	0	0	0	0	0	0
Phocaeicola salanitronis	0	0	0	0	0	0	0	0	0	1
Photobacterium profundum	0	0	0	0	0	0	0	1	0	0
Photorhabdus asymbiotica	1	0	0	0	0	0	0	0	0	0
Phreatobacter cathodiphilus	1	0	0	0	0	0	0	0	0	0
Pirellula staleyi	1	0	0	0	0	0	0	0	0	0
Planococcus kocurii	0	0	0	0	1	0	0	0	0	0
Planococcus sp. PAMC 21323	0	0	0	1	0	0	0	0	0	0
Plasmodium cynomolgi	1	0	0	0	0	0	0	0	0	0
Plasmodium relictum	0	0	0	0	0	0	0	0	1	0
Plautia stali symbiont	0	0	1	0	0	0	0	0	0	0
Polaribacter haliotis	0	0	0	0	0	0	0	1	0	0
Polaribacter sp. MED152	0	0	0	0	0	0	0	1	0	0
Polynucleobacter necessarius	0	0	0	0	1	0	0	0	0	0
Polynucleobacter sp. LimPoW16	0	0	1	0	0	0	0	0	0	0
Pontibacillus sp. HMF3514	0	0	0	1	0	0	0	0	0	0
Pontibacter akesuensis	0	0	0	0	0	0	0	0	1	0
Pradoshia sp. D12	0	0	1	0	0	0	0	0	0	0
Pragia sp. CF-458	0	0	0	0	0	0	0	0	0	1
Proteus columbae	0	0	0	0	0	0	0	1	0	0
Proteus hauseri	0	0	0	0	0	0	0	0	0	1
Proteus sp. GOKU	1	0	0	0	0	0	0	0	0	0
Proteus sp. ZN5	0	0	0	0	0	0	0	1	0	0
Providencia alcalifaciens	0	0	0	1	0	0	0	0	0	0
Providencia rustigianii	0	0	0	0	0	0	0	1	0	0
Providencia stuartii	0	0	1	0	0	0	0	0	0	0
Prunus dulcis	0	0	0	0	0	0	0	1	0	0
Prunus persica	1	0	0	0	0	0	0	0	0	0
Pseudescherichia vulneris	0	0	0	0	0	0	0	1	0	0
Pseudoalteromonas aliena	0	0	0	0	0	0	0	1	0	0
Pseudoalteromonas luteoviolacea	0	0	0	1	0	0	0	0	0	0
Pseudoalteromonas nigrifaciens	0	0	0	0	0	0	0	1	0	0
Pseudoalteromonas rubra	0	0	0	0	0	0	0	1	0	0
Pseudoalteromonas sp. A25	0	0	1	0	0	0	0	0	0	0
Pseudoalteromonas sp. DL-6	0	0	0	0	0	0	1	0	0	0
Pseudoalteromonas sp. MT33b	0	0	0	0	0	0	0	1	0	0
Pseudoalteromonas sp. NC201	0	0	0	0	0	0	0	0	1	0
Pseudoalteromonas sp. R3	0	0	1	0	0	0	0	0	0	0
Pseudoalteromonas spongiae	0	0	0	0	0	0	0	1	0	0
Pseudobutyrivibrio xylanivorans	0	1	0	0	0	0	0	0	0	0
Pseudohongiella spirulinae	0	1	0	0	0	0	0	0	0	0
Pseudomonas asturiensis	1	0	0	0	0	0	0	0	0	0
Pseudomonas chlororaphis	0	0	0	0	0	0	0	0	0	1
Pseudomonas citronellolis	0	1	0	0	0	0	0	0	0	0
Pseudomonas frederiksbergensis	0	0	0	0	0	1	0	0	0	0
Pseudomonas lalkuanensis	0	0	0	0	1	0	0	0	0	0
Pseudomonas rhodesiae	1	0	0	0	0	0	0	0	0	0
Pseudomonas sp. ACM7	0	0	0	0	0	0	0	0	1	0
Pseudomonas sp. DY-1	0	0	0	0	0	1	0	0	0	0
Pseudomonas sp. M30-35	0	0	1	0	0	0	0	0	0	0
Pseudomonas sp. NP-1	0	0	0	1	0	0	0	0	0	0
Pseudomonas sp. SXM-1	1	0	0	0	0	0	0	0	0	0
Pseudomonas synxantha	0	0	0	0	0	1	0	0	0	0
Pseudomonas taetrolens	1	0	0	0	0	0	0	0	0	0
Pseudonocardia sp. HH130629-09	0	0	0	0	1	0	0	0	0	0
Pseudopuniceibacterium sp. HQ09	0	0	0	0	0	0	0	0	0	1
Psychrobacter sp. P11G3	0	0	0	0	0	0	1	0	0	0
Punica granatum	0	0	0	0	0	0	0	1	0	0
Pyrococcus furiosus	0	0	1	0	0	0	0	0	0	0
Rahnella aquatilis	1	0	0	0	0	0	0	0	0	0
Raoultella ornithinolytica	0	0	0	0	0	1	0	0	0	0
Rathayibacter festucae	0	0	0	0	0	0	0	0	1	0
Rhizobium sp. ACO-34A	0	0	0	0	0	0	0	0	1	0
Rhizorhabdus dicambivorans	1	0	0	0	0	0	0	0	0	0
Rhodococcus sp. B7740	0	0	0	0	0	0	0	0	0	1
Rhodothermus marinus	0	0	1	0	0	0	0	0	0	0
Rivularia sp. PCC 7116	1	0	0	0	0	0	0	0	0	0
Roseburia intestinalis	0	0	0	0	0	0	0	0	1	0
Roseimicrobium sp. ORNL1	0	0	0	0	0	0	0	0	0	1
Roseococcus sp. NIBR12	0	0	0	0	0	0	0	0	1	0
Rothia nasimurium	0	0	0	0	0	0	0	1	0	0
Rubrobacter xylanophilus	0	0	0	0	0	1	0	0	0	0
Salegentibacter salegens	0	0	0	0	0	0	0	0	0	1
Salinibacterium sp. dk2585	0	0	0	0	0	0	0	0	1	0
Salinimonas sediminis	0	0	0	0	1	0	0	0	0	0
Salipiger pacificus	0	1	0	0	0	0	0	0	0	0
Sanguibacter sp. HDW7	0	0	0	0	0	0	0	0	1	0
Scandinavium goeteborgense	0	0	0	0	0	0	0	0	0	1
Sebaldella termitidis	0	0	0	0	0	0	0	1	0	0
Setaria italica	0	0	0	0	0	0	1	0	0	0
Setaria viridis	0	1	0	0	0	0	0	0	0	0
Shewanella baltica	0	1	0	0	0	0	0	0	0	0
Shewanella livingstonensis	0	0	0	0	0	0	0	0	1	0
Shewanella oneidensis	0	0	0	0	0	0	0	0	0	1
Shewanella sp. Scap07	0	0	0	0	0	0	0	0	1	0
Shewanella sp. SNU WT4	0	0	0	0	0	0	1	0	0	0
Shewanella sp. YLB-06	0	0	0	0	1	0	0	0	0	0
Shewanella sp. YLB-08	0	0	0	0	0	0	0	0	0	1
Siansivirga zeaxanthinifaciens	0	1	0	0	0	0	0	0	0	0
Simplicispira suum	0	0	1	0	0	0	0	0	0	0
Sinorhizobium meliloti	1	0	0	0	0	0	0	0	0	0
Sneathia amnii	0	0	0	1	0	0	0	0	0	0
Snodgrassella alvi	0	1	0	0	0	0	0	0	0	0
Sodalis glossinidius	0	1	0	0	0	0	0	0	0	0
Solimonas sp. K1W22B-7	0	0	0	0	0	0	0	0	0	1
Sphaerobacter thermophilus	0	0	0	0	0	0	0	0	0	1
Sphaerochaeta globosa	0	0	0	0	0	0	0	0	0	1
Sphaerotilus natans	0	0	0	0	0	0	0	1	0	0
Sphingobacterium sp. ML3W	0	0	0	0	0	0	0	0	1	0
Sphingobium amiense	1	0	0	0	0	0	0	0	0	0
Sphingobium barthaii	1	0	0	0	0	0	0	0	0	0
Sphingomonas alpina	1	0	0	0	0	0	0	0	0	0
Sphingomonas daechungensis	1	0	0	0	0	0	0	0	0	0
Sphingomonas hengshuiensis	0	1	0	0	0	0	0	0	0	0
Sphingomonas rhizophila	1	0	0	0	0	0	0	0	0	0
Sphingomonas sp. Cra20	0	1	0	0	0	0	0	0	0	0
Sphingomonas sp. HKS19	1	0	0	0	0	0	0	0	0	0
Sphingomonas sp. HMP6	0	0	0	0	0	1	0	0	0	0
Sphingomonas sp. sand1-3	1	0	0	0	0	0	0	0	0	0
Sphingomonas sp. XS-10	1	0	0	0	0	0	0	0	0	0
Sphingopyxis alaskensis	1	0	0	0	0	0	0	0	0	0
Sphingopyxis fribergensis	0	0	0	0	1	0	0	0	0	0
Sphingopyxis lindanitolerans	0	0	0	0	0	1	0	0	0	0
Sphingopyxis macrogoltabida	1	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. EG6	1	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. FD7	1	0	0	0	0	0	0	0	0	0
Sphingopyxis sp. LPB0140	0	0	0	0	0	0	0	1	0	0
Sphingopyxis sp. OPL5	0	1	0	0	0	0	0	0	0	0
Sphingorhabdus sp. YGSMI21	1	0	0	0	0	0	0	0	0	0
Sphingosinicella sp. BN140058	1	0	0	0	0	0	0	0	0	0
Sphingosinithalassobacter sp. zrk23	1	0	0	0	0	0	0	0	0	0
Spiribacter sp. 2438	0	0	0	0	0	0	0	0	1	0
Spiroplasma culicicola	0	0	1	0	0	0	0	0	0	0
Spiroplasma taiwanense	0	0	0	1	0	0	0	0	0	0
Spirosoma sp. KCTC 42546	0	0	0	0	0	0	0	0	0	1
Spirosoma sp. TS118	0	0	0	0	0	0	0	0	0	1
Sporosarcina ureae	0	0	0	0	0	0	1	0	0	0
Stanieria sp. NIES-3757	0	1	0	0	0	0	0	0	0	0
Staphylococcus aureus	0	0	0	0	0	0	1	0	0	0
Staphylococcus hominis	0	1	0	0	0	0	0	0	0	0
Staphylococcus lentus	0	0	1	0	0	0	0	0	0	0
Staphylococcus pseudintermedius	0	0	0	0	1	0	0	0	0	0
Staphylococcus sciuri	0	0	0	0	0	0	1	0	0	0
Staphylococcus stepanovicii	0	0	0	0	0	0	1	0	0	0
Staphylococcus virus CSA13	0	0	1	0	0	0	0	0	0	0
Stenotrophomonas sp. ESTM1D	0	1	0	0	0	0	0	0	0	0
Stigmatella aurantiaca	0	0	0	0	1	0	0	0	0	0
Streptococcus ferus	0	0	0	0	0	0	1	0	0	0
Streptococcus gallolyticus	0	0	1	0	0	0	0	0	0	0
Streptococcus iniae	0	0	0	0	1	0	0	0	0	0
Streptococcus macedonicus	0	0	0	0	0	0	0	0	1	0
Streptococcus phage phiARI0468-4	0	0	0	0	1	0	0	0	0	0
Streptococcus phage SpSL1	0	0	0	0	0	0	0	1	0	0
Streptococcus troglodytae	0	0	0	0	0	0	0	1	0	0
Streptococcus urinalis	0	0	0	0	0	0	1	0	0	0
Streptomyces actuosus	1	0	0	0	0	0	0	0	0	0
Streptomyces ambofaciens	0	0	0	0	0	0	0	0	0	1
Streptomyces antimycoticus	0	0	0	0	0	0	0	0	0	1
Streptomyces clavuligerus	0	0	0	0	0	1	0	0	0	0
Streptomyces katrae	1	0	0	0	0	0	0	0	0	0
Streptomyces lunaelactis	0	0	0	0	0	1	0	0	0	0
Streptomyces pristinaespiralis	0	1	0	0	0	0	0	0	0	0
Streptomyces sp. NHF165	0	1	0	0	0	0	0	0	0	0
Streptomyces sp. SCSIO 3032	0	0	0	0	0	0	1	0	0	0
Streptomyces tsukubensis	0	0	0	0	0	0	0	0	1	0
Sulfitobacter sp. THAF37	0	1	0	0	0	0	0	0	0	0
Sulfuriferula sp. AH1	0	0	0	1	0	0	0	0	0	0
Sulfurimonas autotrophica	0	0	1	0	0	0	0	0	0	0
Sulfurivermis fontis	1	0	0	0	0	0	0	0	0	0
Synechococcus sp. M16.1	0	1	0	0	0	0	0	0	0	0
Tatumella sp. TA1	0	0	1	0	0	0	0	0	0	0
Tepidanaerobacter acetatoxydans	0	0	0	0	0	0	0	0	1	0
Thauera humireducens	0	0	0	0	0	1	0	0	0	0
Thauera sp. MZ1T	0	0	0	0	0	1	0	0	0	0
Thermacetogenium phaeum	0	0	1	0	0	0	0	0	0	0
Thermoactinomyces vulgaris	0	0	0	1	0	0	0	0	0	0
Thermobifida fusca	0	0	0	0	0	0	0	0	1	0
Thermococcus sp. 2319x1	0	0	1	0	0	0	0	0	0	0
Thermomicrobium roseum	0	0	0	0	0	1	0	0	0	0
Thermomonas sp. XSG	0	0	0	0	0	1	0	0	0	0
Thermosipho africanus	0	0	1	0	0	0	0	0	0	0
Thiomonas intermedia	0	0	0	0	1	0	0	0	0	0
Treponema brennaborense	0	0	0	0	0	0	0	0	0	1
Treponema phagedenis	0	0	1	0	0	0	0	0	0	0
Ureibacillus thermosphaericus	0	0	0	0	0	0	0	0	0	1
Vagococcus penaei	1	0	0	0	0	0	0	0	0	0
Vagococcus sp. HDW17A	0	1	0	0	0	0	0	0	0	0
Vagococcus teuberi	0	0	0	0	0	0	0	1	0	0
Variovorax boronicumulans	0	1	0	0	0	0	0	0	0	0
Variovorax sp. 38R	0	0	0	0	0	1	0	0	0	0
Variovorax sp. PAMC26660	0	0	0	0	0	1	0	0	0	0
Variovorax sp. PBS-H4	0	0	0	0	0	1	0	0	0	0
Vibrio chagasii	0	1	0	0	0	0	0	0	0	0
Vibrio harveyi	0	0	0	0	0	0	0	1	0	0
Vibrio navarrensis	0	0	0	0	0	0	0	0	1	0
Vibrio panuliri	0	0	1	0	0	0	0	0	0	0
Vibrio rumoiensis	0	1	0	0	0	0	0	0	0	0
Vibrio sp. HBUAS61001	0	0	0	0	0	0	1	0	0	0
Vibrio sp. ZWAL4003	1	0	0	0	0	0	0	0	0	0
Vigna radiata	0	0	0	0	0	0	0	1	0	0
Virgibacillus sp. Bac332	0	0	0	0	0	0	1	0	0	0
Viridibacillus sp. JNUCC-6	0	0	0	0	0	0	0	0	0	1
Vitis vinifera	0	0	1	0	0	0	0	0	0	0
Vitreoscilla sp. C1	0	0	0	0	1	0	0	0	0	0
Weissella cibaria	0	0	0	0	0	0	1	0	0	0
Weissella koreensis	0	0	0	0	0	0	1	0	0	0
Weissella paramesenteroides	1	0	0	0	0	0	0	0	0	0
Winogradskyella sediminis	0	0	0	0	0	1	0	0	0	0
Winogradskyella sp. J14-2	0	0	0	1	0	0	0	0	0	0
Wolbachia endosymbiont of Brugia pahangi	0	0	0	0	0	0	0	0	1	0
Wolbachia endosymbiont of Cruorifilaria tuberocauda	0	0	0	0	0	0	0	0	1	0
Xanthomonas citri	0	0	0	0	0	1	0	0	0	0
Yersinia aldovae	0	0	1	0	0	0	0	0	0	0
Yersinia ruckeri	0	0	1	0	0	0	0	0	0	0
Zea mays	1	0	0	0	0	0	0	0	0	0
Zobellella denitrificans	0	0	0	0	0	0	0	0	0	1
Zunongwangia profunda	0	0	0	0	1	0	0	0	0	0
Zymobacter palmae	1	0	0	0	0	0	0	0	0	0
[Eubacterium] cellulosolvens	0	0	0	0	0	0	0	0	0	0
Acholeplasma palmae	0	0	0	0	0	0	0	0	0	0
Acinetobacter phage Acj61	0	0	0	0	0	0	0	0	0	0
Acinetobacter sp. WCHA55	0	0	0	0	0	0	0	0	0	0
Aeromonas sobria	0	0	0	0	0	0	0	0	0	0
Aeromonas sp. ASNIH4	0	0	0	0	0	0	0	0	0	0
Alistipes communis	0	0	0	0	0	0	0	0	0	0
Alkaliphilus metalliredigens	0	0	0	0	0	0	0	0	0	0
Altererythrobacter atlanticus	0	0	0	0	0	0	0	0	0	0
Altererythrobacter dongtanensis	0	0	0	0	0	0	0	0	0	0
Altererythrobacter epoxidivorans	0	0	0	0	0	0	0	0	0	0
Altererythrobacter sp. BO-6	0	0	0	0	0	0	0	0	0	0
Altererythrobacter sp. ZODW24	0	0	0	0	0	0	0	0	0	0
Amniculibacterium sp. G2-70	0	0	0	0	0	0	0	0	0	0
Amycolatopsis orientalis	0	0	0	0	0	0	0	0	0	0
Arsenophonus nasoniae	0	0	0	0	0	0	0	0	0	0
Asticcacaulis excentricus	0	0	0	0	0	0	0	0	0	0
Aureimonas altamirensis	0	0	0	0	0	0	0	0	0	0
Azospirillum lipoferum	0	0	0	0	0	0	0	0	0	0
Azospirillum oryzae	0	0	0	0	0	0	0	0	0	0
Azospirillum thiophilum	0	0	0	0	0	0	0	0	0	0
Bacillus cereus	0	0	0	0	0	0	0	0	0	0
Bacillus coagulans	0	0	0	0	0	0	0	0	0	0
Bacillus phage Nigalana	0	0	0	0	0	0	0	0	0	0
Bacillus thermoamylovorans	0	0	0	0	0	0	0	0	0	0
Bacteroides sp. CBA7301	0	0	0	0	0	0	0	0	0	0
Bacteroides uniformis	0	0	0	0	0	0	0	0	0	0
Beggiatoa leptomitoformis	0	0	0	0	0	0	0	0	0	0
Blautia hansenii	0	0	0	0	0	0	0	0	0	0
Bordetella sp. H567	0	0	0	0	0	0	0	0	0	0
Bordetella sp. N	0	0	0	0	0	0	0	0	0	0
Brachypodium distachyon	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium amphicarpaeae	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium oligotrophicum	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. CCBAU 53351	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. ORS 278	0	0	0	0	0	0	0	0	0	0
Brassica napus	0	0	0	0	0	0	0	0	0	0
Brevundimonas subvibrioides	0	0	0	0	0	0	0	0	0	0
Burkholderia lata	0	0	0	0	0	0	0	0	0	0
Burkholderia sp. IDO3	0	0	0	0	0	0	0	0	0	0
Caminibacter mediatlanticus	0	0	0	0	0	0	0	0	0	0
Campylobacter hepaticus	0	0	0	0	0	0	0	0	0	0
Caulobacter rhizosphaerae	0	0	0	0	0	0	0	0	0	0
Caulobacter sp. Ji-3-8	0	0	0	0	0	0	0	0	0	0
Caulobacter vibrioides	0	0	0	0	0	0	0	0	0	0
Cellulomonas fimi	0	0	0	0	0	0	0	0	0	0
Cellulophaga baltica	0	0	0	0	0	0	0	0	0	0
Cellulophaga lytica	0	0	0	0	0	0	0	0	0	0
Chromobacterium paludis	0	0	0	0	0	0	0	0	0	0
Chromohalobacter salexigens	0	0	0	0	0	0	0	0	0	0
Chryseobacterium manosquense	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. 3008163	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. G0201	0	0	0	0	0	0	0	0	0	0
Citromicrobium sp. JL477	0	0	0	0	0	0	0	0	0	0
Clostridium bornimense	0	0	0	0	0	0	0	0	0	0
Clostridium fermenticellae	0	0	0	0	0	0	0	0	0	0
Clostridium intestinale	0	0	0	0	0	0	0	0	0	0
Comamonas koreensis	0	0	0	0	0	0	0	0	0	0
Corynebacterium sp. 2183	0	0	0	0	0	0	0	0	0	0
Corynebacterium striatum	0	0	0	0	0	0	0	0	0	0
Cuniculiplasma divulgatum	0	0	0	0	0	0	0	0	0	0
Cupriavidus pauculus	0	0	0	0	0	0	0	0	0	0
Deinococcus radiodurans	0	0	0	0	0	0	0	0	0	0
Desulfallas gibsoniae	0	0	0	0	0	0	0	0	0	0
Desulfofarcimen acetoxidans	0	0	0	0	0	0	0	0	0	0
Duganella sp. GN2-R2	0	0	0	0	0	0	0	0	0	0
Ensifer adhaerens	0	0	0	0	0	0	0	0	0	0
Enterobacteriaceae endosymbiont of Donacia proxima	0	0	0	0	0	0	0	0	0	0
Erysipelothrix inopinata	0	0	0	0	0	0	0	0	0	0
Erythrobacter gangjinensis	0	0	0	0	0	0	0	0	0	0
Erythrobacter litoralis	0	0	0	0	0	0	0	0	0	0
Erythrobacter sp. HKB08	0	0	0	0	0	0	0	0	0	0
Erythrobacter sp. HL-111	0	0	0	0	0	0	0	0	0	0
Erythrobacter sp. KY5	0	0	0	0	0	0	0	0	0	0
Erythrobacter sp. THAF29	0	0	0	0	0	0	0	0	0	0
Escherichia coli	0	0	0	0	0	0	0	0	0	0
Euzebya sp. DY32-46	0	0	0	0	0	0	0	0	0	0
