Taxonomy	A17	B22	EA48	EB01	EB02	EB13	EB17	G01	M01	P01	P22	YA04	YA23	YB31	YB43	YB54	YB56	Z16
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._NIES-970	6	2	2	8	172	2	4	1	3	1	0	2	4	3	9	2	0	6
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._NOUM97013	3	1	4	6	0	0	4	1	3	1	1	0	1	2	0	0	1	1
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PCC_11901	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PCC_6312	4	2	0	4	1	0	0	5	6	5	0	10	0	20	1	11	14	3
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PCC_7002	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PCC_7003	0	1	1	5	0	0	0	0	0	0	20	0	0	0	0	0	0	3
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PCC_7117	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PCC_7336	4	10	28	1	1	0	6	6	1	10	4	0	0	1	0	0	0	3
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PCC_7502	0	0	6	1	32	3	2	0	4	0	0	0	2	6	2	9	6	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PCC_8807	0	2	1	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PROS-7-1	0	1	1	1	0	0	1	0	1	3	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PROS-9-1	0	2	1	4	0	1	1	0	5	0	0	0	0	2	0	5	2	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._PROS-U-1	0	0	2	4	8	7	8	0	2	4	10	0	2	3	0	8	5	4
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._ROS8604	0	0	2	0	3	0	3	0	1	0	3	5	0	3	0	0	1	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._RS9902	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	1	1
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._RS9907	0	5	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._RS9909	1	1	5	4	6	0	6	1	0	5	8	1	0	6	0	0	0	2
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._RSCCF101	4	9	9	0	16	1	4	2	0	29	5	4	4	6	0	0	2	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._SYN20	17	69	1	3	1	0	1	1	60	16	89	0	1	0	0	0	0	11
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._SynAce01	1	18	7	4	0	1	6	16	13	8	27	2	0	0	0	0	0	91
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._TAK9802	0	1	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._WH_8020	2	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	9	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._WH_8101	0	7	3	6	0	5	6	3	1	0	11	0	2	0	0	8	0	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp._WH_8109	7	0	3	0	0	0	0	0	0	0	2	0	0	1	0	9	0	0
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Trichocoleusaceae|g__Trichocoleus|s__Trichocoleus_desertorum	3	5	51	5	3	4	8	1	1	1	11	0	0	1	0	2	3	4
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Synechococcales|f__Trichocoleusaceae|g__Trichothermofontia|s__Trichothermofontia_sichuanensis	2	38	4	0	0	1	3	28	4	1	18	2	0	5	0	1	0	3
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Thermostichales|f__Thermostichaceae|g__Thermostichus|s__Thermostichus_lividus	0	4	0	1	4	3	1	6	0	2	3	0	1	1	0	0	0	11
k__Bacteria|p__Cyanobacteriota|s__cyanobacterium_endosymbiont_of_Epithemia_clementina_EcSB	0	0	3	3	0	0	2	0	0	5	0	2	8	0	0	1	1	0
k__Bacteria|p__Cyanobacteriota|s__cyanobacterium_endosymbiont_of_Epithemia_turgida	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1
k__Bacteria|p__Cyanobacteriota|s__cyanobacterium_endosymbiont_of_Rhopalodia_gibberula	5	0	0	0	40	3	3	1	0	0	0	13	1	0	0	1	0	0
k__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Calditerrivibrionaceae|g__Calditerrivibrio|s__Calditerrivibrio_nitroreducens	0	2	3	13	3	5	4	2	3	0	1	4	29	9	5	3	4	7
k__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter_desulfuricans	3	0	16	33	13	6	36	1	0	1	0	0	0	6	1	8	6	3
k__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Flexistipitaceae|g__Flexistipes|s__Flexistipes_sinusarabici	3	3	9	3	2	2	3	11	9	4	4	2	2	7	0	6	0	0
k__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Geovibrionaceae|g__Denitrovibrio|s__Denitrovibrio_acetiphilus	2	5	11	6	6	33	11	1	0	1	2	6	8	9	7	11	8	12
k__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Geovibrionaceae|g__Geovibrio|s__Geovibrio_thiophilus	7	11	15	0	1	7	7	5	3	3	23	0	3	2	1	0	2	2
k__Bacteria|p__Deferribacterota|c__Deferribacteres|o__Deferribacterales|f__Mucispirillaceae|g__Mucispirillum|s__Mucispirillum_schaedleri	0	1	29	21	6	3	16	1	6	7	3	8	3	8	0	9	11	1
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_actinosclerus	1	17	5	2	21	1	7	1	16	9	13	2	7	6	0	0	7	5
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_aetherius	33	122	16	1	3	3	6	11	14	2	15	0	2	3	0	5	4	8
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_aquaticus	30	65	14	6	8	14	12	41	3	16	27	31	4	17	0	4	4	4
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_deserti	5	15	21	4	14	34	41	20	26	43	14	15	39	23	12	26	2	12
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_ficus	14	96	40	3	14	10	12	31	72	46	85	7	10	15	16	15	14	22
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_geothermalis	8	13	10	9	12	0	7	6	37	56	21	2	1	2	1	3	5	24
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_gobiensis	5	149	15	3	5	17	3	14	72	82	6	2	13	17	2	20	26	16
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_irradiatisoli	17	20	45	23	4	16	10	7	7	84	75	0	2	8	0	4	6	17
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_maricopensis	11	22	37	12	3	7	10	8	35	40	15	2	2	3	2	1	3	15
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_metallilatus	7	6	41	4	8	21	8	24	14	17	69	3	5	8	0	18	8	18
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_peraridilitoris	1	12	17	14	13	5	36	13	24	7	35	37	5	33	10	3	10	15
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_proteolyticus	6	3	14	9	6	5	18	5	8	6	36	52	23	14	0	3	37	20
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_psychrotolerans	0	13	12	5	10	2	5	2	7	4	43	1	0	10	0	1	0	3
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_puniceus	0	36	42	12	1	8	25	10	27	28	28	0	12	8	0	4	2	13
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_radiodurans	0	56	12	9	9	13	5	10	3	47	13	0	6	6	0	0	3	8
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_radiophilus	4	41	12	5	5	1	2	29	11	30	11	0	8	6	1	0	4	31
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_radiopugnans	5	58	24	4	20	59	25	41	35	13	29	1	0	0	0	0	4	16
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_rubellus	15	15	26	3	9	5	13	8	4	15	32	0	8	21	0	8	5	9
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_soli_(ex_Cha_et_al._2016)	5	8	10	0	61	2	8	9	15	49	58	0	0	0	1	1	3	11
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._AJ005	1	7	6	11	18	16	19	8	7	6	9	16	42	50	0	12	110	11
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._KNUC1210	14	87	39	6	15	4	19	52	62	17	86	9	2	22	1	6	12	65
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._NW-56	2	14	15	2	1	0	9	4	17	42	5	0	0	0	0	2	0	3
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_sp._QL22	7	4	39	6	20	47	12	6	3	12	18	2	38	7	4	3	10	4
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_taeanensis	2	29	18	1	7	20	19	27	14	3	14	0	0	3	0	2	1	10
k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_wulumuqiensis	9	38	14	5	14	8	8	22	15	16	55	3	4	9	0	3	39	7
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Allomeiothermus|s__Allomeiothermus_silvanus	8	11	6	3	3	3	6	2	20	3	23	0	2	12	0	1	4	7
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Marinithermus|s__Marinithermus_hydrothermalis	1	31	8	4	0	19	5	11	12	68	38	0	1	4	2	4	9	4
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_ruber	3	5	7	2	0	4	6	9	2	3	8	0	3	0	0	3	40	8
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus|s__Meiothermus_taiwanensis	7	96	24	2	8	4	1	10	20	7	38	0	2	4	1	14	3	4
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Oceanithermus|s__Oceanithermus_profundus	5	15	12	5	3	3	14	6	15	54	44	0	4	6	0	0	16	23
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_antranikianii	0	1	0	1	6	0	0	6	2	1	3	0	3	17	0	4	2	0
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_aquaticus	13	13	14	6	0	0	5	3	12	5	11	0	0	0	0	5	0	4
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_brockianus	0	104	12	4	3	0	1	14	38	28	25	0	0	2	0	0	0	0
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_caldilimi	0	8	5	3	2	0	1	1	0	15	2	0	0	0	0	0	0	1
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_oshimai	6	13	5	10	5	27	6	18	18	8	9	0	4	11	2	0	1	3
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_parvatiensis	0	6	2	3	0	0	0	1	3	2	3	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_scotoductus	0	3	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_sp._CCB_US3_UF1	9	8	5	7	3	10	2	3	4	16	38	0	16	9	0	0	6	2
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_sp._NEB1569	3	1	2	0	0	0	1	7	1	11	0	0	0	2	0	0	0	0
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_sp._PS18	0	3	1	1	0	0	0	0	0	1	2	0	0	5	0	0	0	0
k__Bacteria|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Thermus|s__Thermus_thermophilus	1	30	39	1	0	50	10	8	46	5	17	5	1	7	10	5	19	16
k__Bacteria|p__Deinococcota|c__Deinococci|o__Trueperales|f__Trueperaceae|g__Truepera|s__Truepera_radiovictrix	5	12	30	11	0	2	5	17	18	45	14	0	1	5	0	1	5	9
k__Bacteria|p__Dictyoglomota|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_thermophilum	0	0	21	17	9	3	4	0	1	0	0	0	4	4	1	14	4	2
k__Bacteria|p__Dictyoglomota|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus_turgidum	1	4	14	3	1	0	1	0	0	1	0	3	0	10	0	19	1	6
k__Bacteria|p__Elusimicrobiota|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium_minutum	1	35	11	5	11	4	8	15	32	5	7	0	1	0	0	1	2	2
k__Bacteria|p__Elusimicrobiota|c__Endomicrobiia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus_Endomicrobium_trichonymphae	1	9	19	3	6	21	23	0	5	22	11	4	9	3	6	25	2	2
k__Bacteria|p__Elusimicrobiota|c__Endomicrobiia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium_proavitum	6	3	13	8	2	7	1	2	4	10	48	1	0	9	3	2	0	9
k__Bacteria|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter_succinogenes	9	24	76	34	25	32	65	5	16	29	14	15	26	33	5	46	65	52
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_somerae	0	13	45	54	85	91	37	4	1	0	8	65	46	28	0	6	6	1
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_animalis	13	11	12	58	106	54	28	1	0	0	13	18	25	4	0	24	10	8
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_canifelinum	0	2	11	7	20	11	30	1	0	0	0	5	8	15	6	10	9	6
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_gastrosuis	7	4	54	28	23	34	18	5	0	1	5	41	0	106	0	24	0	8
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_gonidiaformans	1	22	20	43	16	70	18	1	1	4	42	25	2	72	1	54	5	0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_hominis	0	20	50	178	106	192	61	2	4	7	54	255	15	113	108	33	36	7
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_hwasookii	0	0	6	18	12	27	83	0	2	2	5	13	30	2	11	3	11	7
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_mortiferum	3	19129	2503	29139	194284	160189	106274	72	13	0	2011	451	5	686	121	7	39	366
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_necrophorum	7	37	24	52	30	24	36	0	18	2	8	53	58	60	46	24	11	11
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum	3	76	28	41	23	63	65	2	2	1	8	38	59	48	32	26	20	5
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum	0	1	32	19	13	22	17	0	0	0	0	1	0	3	0	18	0	0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_polymorphum	2	10	22	53	17	45	68	0	0	1	2	12	10	22	23	35	8	0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_pseudoperiodonticum	27	23	55	77	84	88	747	1	5	2	32	130	67	251	7	40	63	19
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_sp._oral_taxon_203	0	1	3	3	6	39	4	0	0	0	0	2	10	17	2	1	0	0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_ulcerans	2	31	79	309	109	358	80	0	1	14	224958	737	24	100	9	42	83	67
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_varium	5	9	23	213	111	200	125	3	1	4	4510	403	24	22	51	62	18	11
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_vincentii	1	0	27	9	9	47	9	1	0	0	28	117	66	4	2	27	26	4
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Ilyobacter|s__Ilyobacter_polytropus	20	16	40	27	2	23	22	5	8	15	2	74	5	3	1	15	10	5
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Haliovirgaceae|g__Haliovirga|s__Haliovirga_abyssi	0	5	81	42	18	57	23	109	11	1	8	21	7	47	1	39	6	2
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_buccalis	5	10	3	3	7	7	4	0	2	0	0	2	8	92	4	6	4	1
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_hofstadii	0	1	12	6	130	18	14	0	35	0	5	2	13	4	1	4	2	1
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_hongkongensis	0	0	1	9	3	9	3	0	2	0	0	4	3	5	1	2	2	3
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_shahii	0	2	7	18	7	0	1	0	0	0	0	3	9	1	0	0	0	0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp._HMT-225	0	0	7	11	0	5	1	0	0	1	0	0	0	0	0	3	1	0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp._oral_taxon_212	15	19	11	6	2	6	14	1	0	0	16	3	12	6	8	18	5	4
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp._oral_taxon_218	1	24	6	14	42	34	25	0	9	0	0	49	85	80	116	62	131	3
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp._oral_taxon_221	3	5	13	14	0	2	5	4	0	1	7	1	1	2	1	8	2	1
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp._oral_taxon_498	3	0	5	10	2	25	6	1	0	1	0	0	4	82	129	1	1	0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp._oral_taxon_847	0	0	6	7	7	4	8	0	0	0	0	6	2	5	0	5	8	5
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_trevisanii	6	52	18	31	10	20	5	1	2	0	0	10	14	11	15	15	12	22
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_wadei	10	13	22	18	6	18	26	0	1	2	0	5	19	27	6	16	3	27
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Pseudoleptotrichia|s__Pseudoleptotrichia_goodfellowii	0	1	15	27	26	4	22	75	13	0	4	2	5	13	0	62	2	7
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sebaldella|s__Sebaldella_termitidis	3	5	43	33	6	32	29	5	3	0	0	46	27	59	185	35	7	18
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia|s__Sneathia_vaginalis	1	5	29	25	175	22	13	12	5	3	39	9	2	4	1	7	15	8
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Streptobacillus|s__Streptobacillus_moniliformis	11	17	19	38	1	39	9	0	1	0	0	98	1	117	1	31	3	2
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas_aurantiaca	0	12	7	1	0	0	5	3	10	8	7	0	1	1	0	0	0	1
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas_groenlandica	6	13	20	5	7	15	12	9	16	26	8	0	0	0	0	0	2	14
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas|s__Gemmatimonas_phototrophica	5	8	9	8	0	5	1	4	12	15	3	6	2	6	3	1	0	3
k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatirosa|s__Gemmatirosa_kalamazoonensis	13	24	40	8	14	10	8	31	14	120	18	7	10	41	0	13	11	14
k__Bacteria|p__Ignavibacteriota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae|g__Ignavibacterium|s__Ignavibacterium_album	0	1	8	4	1	11	5	0	0	2	0	2	1	2	0	4	7	2
k__Bacteria|p__Ignavibacteriota|c__Ignavibacteria|o__Ignavibacteriales|f__Ignavibacteriaceae|g__Ignavibacterium|s__Ignavibacterium_sp.	0	2	2	12	2	6	24	0	12	0	2	3	8	4	0	3	6	1
